Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,Ticker,Corresponding ETF,Sector,SP,Market Cap
2023-01-03,6.340000152587891,6.440000057220459,6.229000091552734,6.309999942779541,6.309999942779541,520300,,,,BRSP,XLRE,Real Estate,,790347840
2023-01-04,6.400000095367432,6.519999980926514,6.389999866485596,6.46999979019165,6.46999979019165,369100,19.734751870378478,33.53246685442964,6.642696867025982,BRSP,XLRE,Real Estate,0.0,790347840
2023-01-05,6.420000076293945,6.494999885559082,6.340000152587891,6.440000057220459,6.440000057220459,264700,19.74462587296654,41.35583998490118,6.626249526375093,BRSP,XLRE,Real Estate,0.0,790347840
2023-01-06,6.53000020980835,6.784999847412109,6.485000133514404,6.769999980926514,6.769999980926514,562900,19.95927166578502,40.39577003084816,6.608511481693699,BRSP,XLRE,Real Estate,0.0,790347840
2023-01-09,6.900000095367432,7.019999980926514,6.831999778747559,6.860000133514404,6.860000133514404,794500,18.552566767934113,53.25192033863129,6.6238913387634915,BRSP,XLRE,Real Estate,0.0,790347840
2023-01-10,6.860000133514404,6.900000095367432,6.809999942779541,6.889999866485596,6.889999866485596,389600,18.195465185913996,56.03698581686641,6.646377890644531,BRSP,XLRE,Real Estate,0.0,790347840
2023-01-11,6.940000057220459,7.105999946594238,6.940000057220459,7.039999961853027,7.039999961853027,409500,17.752716726124806,56.957494739563344,6.669579983581775,BRSP,XLRE,Real Estate,0.0,790347840
2023-01-12,7.099999904632568,7.230000019073486,7.090000152587891,7.179999828338623,7.179999828338623,472900,18.10479631746361,61.31864499952092,6.704858076750465,BRSP,XLRE,Real Estate,0.0,790347840
2023-01-13,7.150000095367432,7.300000190734863,7.130000114440918,7.28000020980835,7.28000020980835,541400,18.834686139475167,64.89389881604359,6.750109672139813,BRSP,XLRE,Real Estate,1.0,790347840
2023-01-17,7.320000171661377,7.429999828338623,7.304999828338623,7.320000171661377,7.320000171661377,509600,19.72989623367553,67.2242258674108,6.800575437632054,BRSP,XLRE,Real Estate,1.0,790347840
2023-01-18,7.360000133514404,7.460000038146973,7.239999771118164,7.239999771118164,7.239999771118164,523600,20.944993614509517,68.13536730235597,6.850044459920562,BRSP,XLRE,Real Estate,1.0,790347840
2023-01-19,7.170000076293945,7.239999771118164,7.135000228881836,7.21999979019165,7.21999979019165,308300,21.67817510068562,64.28619102145021,6.887183060987,BRSP,XLRE,Real Estate,1.0,790347840
2023-01-20,7.269999980926514,7.300000190734863,7.130000114440918,7.300000190734863,7.300000190734863,494600,21.74278788264552,63.323073488798975,6.918879892339824,BRSP,XLRE,Real Estate,1.0,790347840
2023-01-23,7.260000228881836,7.409999847412109,7.260000228881836,7.360000133514404,7.360000133514404,301600,22.017825269373066,65.54659342101161,6.955177063615542,BRSP,XLRE,Real Estate,1.0,790347840
2023-01-24,7.300000190734863,7.409999847412109,7.239999771118164,7.25,7.25,243100,22.65217338940035,67.15487599343783,6.993731641701148,BRSP,XLRE,Real Estate,1.0,790347840
2023-01-25,7.210000038146973,7.264999866485596,7.170000076293945,7.260000228881836,7.260000228881836,319600,23.112467766160897,61.487953356741876,7.018138152015324,BRSP,XLRE,Real Estate,1.0,790347840
2023-01-26,7.300000190734863,7.349999904632568,7.244999885559082,7.349999904632568,7.349999904632568,328000,23.08492782858632,61.80352244712495,7.04117263552642,BRSP,XLRE,Real Estate,1.0,790347840
2023-01-27,7.309999942779541,7.525000095367432,7.309999942779541,7.46999979019165,7.46999979019165,297500,23.393887326593877,64.61378957161108,7.070584756393672,BRSP,XLRE,Real Estate,1.0,790347840
2023-01-30,7.610000133514404,7.644999980926514,7.382999897003174,7.440000057220459,7.440000057220459,413400,24.295005523304912,67.99496120544669,7.108624283422051,BRSP,XLRE,Real Estate,1.0,790347840
2023-01-31,7.440000057220459,7.630000114440918,7.440000057220459,7.619999885559082,7.619999885559082,595100,25.499442622909008,66.28966346790473,7.140183880926661,BRSP,XLRE,Real Estate,1.0,790347840
2023-02-01,7.590000152587891,7.769999980926514,7.519999980926514,7.690000057220459,7.690000057220459,528400,26.61784850111281,70.99076049165872,7.185880643272606,BRSP,XLRE,Real Estate,1.0,790347840
2023-02-02,7.78000020980835,7.809999942779541,7.699999809265137,7.769999980926514,7.769999980926514,498600,28.068940198343675,72.59154328091083,7.233892016029544,BRSP,XLRE,Real Estate,1.0,790347840
