Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,Ticker,Corresponding ETF,Sector,SP,Market Cap
2023-01-03,12.760000228881836,12.819999694824219,12.600000381469727,12.680000305175781,12.680000305175781,161400,,,,BXMX,XLF,Financial Services,,1371853056
2023-01-04,12.760000228881836,12.84000015258789,12.640000343322754,12.649999618530273,12.649999618530273,129900,25.322729348335876,42.242946763351505,12.8089293621725,BXMX,XLF,Financial Services,0.0,1371853056
2023-01-05,12.649999618530273,12.710000038146973,12.550000190734863,12.619999885559082,12.619999885559082,129900,23.83186160348626,41.244474052456646,12.793793196111336,BXMX,XLF,Financial Services,0.0,1371853056
2023-01-06,12.6899995803833,12.90999984741211,12.680000305175781,12.869999885559082,12.869999885559082,103600,22.931913030691618,40.22070372850077,12.777241452249216,BXMX,XLF,Financial Services,1.0,1371853056
2023-01-09,12.960000038146973,13.029999732971191,12.859999656677246,12.899999618530273,12.899999618530273,106600,21.645229794223404,51.1113184615512,12.786075588754917,BXMX,XLF,Financial Services,1.0,1371853056
2023-01-10,12.880000114440918,12.9399995803833,12.8100004196167,12.899999618530273,12.899999618530273,173900,21.03298980843547,52.23583500798469,12.79692549635257,BXMX,XLF,Financial Services,1.0,1371853056
2023-01-11,12.9399995803833,13.109999656677246,12.9399995803833,13.09000015258789,13.09000015258789,118500,20.165147877927108,52.235835007984676,12.806742079417113,BXMX,XLF,Financial Services,1.0,1371853056
2023-01-12,13.130000114440918,13.15999984741211,12.979999542236328,13.09000015258789,13.09000015258789,81300,20.13696717353602,59.13934079491544,12.833719038766711,BXMX,XLF,Financial Services,1.0,1371853056
2023-01-13,13.0600004196167,13.15999984741211,13.039999961853027,13.109999656677246,13.109999656677246,183500,20.319779782838932,59.13934079491544,12.858126763892537,BXMX,XLF,Financial Services,1.0,1371853056
2023-01-17,13.15999984741211,13.1899995803833,13.079999923706055,13.130000114440918,13.130000114440918,97100,20.489534348620204,59.847793225464706,12.882114658443461,BXMX,XLF,Financial Services,1.0,1371853056
2023-01-18,13.210000038146973,13.210000038146973,12.930000305175781,12.970000267028809,12.970000267028809,188000,20.78381190942744,60.58380608742618,12.905722797109886,BXMX,XLF,Financial Services,1.0,1371853056
2023-01-19,12.899999618530273,12.970000267028809,12.8100004196167,12.819999694824219,12.819999694824219,162800,20.010461254591178,52.32118442176098,12.911844460911688,BXMX,XLF,Financial Services,1.0,1371853056
2023-01-20,12.890000343322754,12.960000038146973,12.84000015258789,12.920000076293945,12.920000076293945,202800,18.59241062489018,45.98874681205481,12.903097340331929,BXMX,XLF,Financial Services,0.0,1371853056
2023-01-23,12.960000038146973,13.109999656677246,12.949999809265137,13.079999923706055,13.079999923706055,184900,17.275649325882114,50.30676115632408,12.904707124709264,BXMX,XLF,Financial Services,0.0,1371853056
2023-01-24,13.0,13.109999656677246,12.8100004196167,13.0,13.0,222600,16.87218533220512,56.323367148207595,12.921401676994671,BXMX,XLF,Financial Services,0.0,1371853056
2023-01-25,12.949999809265137,13.039999961853027,12.850000381469727,13.029999732971191,13.029999732971191,196600,15.679772778940057,52.876148953350075,12.928887231566607,BXMX,XLF,Financial Services,1.0,1371853056
2023-01-26,13.0600004196167,13.210000038146973,13.010000228881836,13.130000114440918,13.130000114440918,264200,14.572532550908212,54.01280631990052,12.93851699360514,BXMX,XLF,Financial Services,1.0,1371853056
2023-01-27,13.140000343322754,13.199999809265137,13.0600004196167,13.079999923706055,13.079999923706055,155400,14.446488446085832,57.6774330729274,12.956753481303785,BXMX,XLF,Financial Services,1.0,1371853056
2023-01-30,13.0600004196167,13.109999656677246,13.050000190734863,13.109999656677246,13.109999656677246,132100,14.329447491607906,55.304382073919086,12.968491237723049,BXMX,XLF,Financial Services,1.0,1371853056
2023-01-31,13.140000343322754,13.329999923706055,13.119999885559082,13.3100004196167,13.3100004196167,154500,14.15012998817666,56.46183069802213,12.981968230004401,BXMX,XLF,Financial Services,1.0,1371853056
2023-02-01,13.3100004196167,13.470000267028809,13.210000038146973,13.430000305175781,13.430000305175781,185800,15.066818465649462,63.28755884350012,13.013209390919858,BXMX,XLF,Financial Services,1.0,1371853056
2023-02-02,13.470000267028809,13.609999656677246,13.40999984741211,13.59000015258789,13.59000015258789,180800,16.467895169987944,66.66447293540327,13.052903763706137,BXMX,XLF,Financial Services,1.0,1371853056
2023-02-03,13.430000305175781,13.550000190734863,13.350000381469727,13.430000305175781,13.430000305175781,144100,18.24461024963851,70.55368103105981,13.104055800742495,BXMX,XLF,Financial Services,1.0,1371853056
2023-02-06,13.390000343322754,13.40999984741211,13.25,13.270000457763672,13.270000457763672,157800,19.440664630301633,62.67855498128537,13.135098134498046,BXMX,XLF,Financial Services,1.0,1371853056
2023-02-07,13.300000190734863,13.460000038146973,13.239999771118164,13.449999809265137,13.449999809265137,131800,19.831517323173664,55.95275434484189,13.147945974809058,BXMX,XLF,Financial Services,1.0,1371853056
2023-02-08,13.430000305175781,13.449999809265137,13.350000381469727,13.420000076293945,13.420000076293945,118900,20.40170481663054,61.0203195374735,13.176713006662018,BXMX,XLF,Financial Services,1.0,1371853056
2023-02-09,13.529999732971191,13.529999732971191,13.350000381469727,13.390000343322754,13.390000343322754,165200,20.931164631983357,59.78576714263135,13.19988320376982,BXMX,XLF,Financial Services,1.0,1371853056
2023-02-10,13.390000343322754,13.470000267028809,13.359999656677246,13.430000305175781,13.430000305175781,144000,21.76778885070701,58.51092418274676,13.217989598012958,BXMX,XLF,Financial Services,1.0,1371853056
2023-02-13,13.470000267028809,13.5600004196167,13.449999809265137,13.539999961853027,13.539999961853027,145200,22.544654196664688,59.74352237742006,13.238181093933227,BXMX,XLF,Financial Services,1.0,1371853056
