Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,Ticker,Corresponding ETF,Sector,SP,Market Cap
2023-01-03,38.81999969482422,39.43000030517578,38.5,38.630001068115234,38.630001068115234,141600,,,,ENVA,XLF,Financial Services,,1686115200
2023-01-04,39.099998474121094,39.84000015258789,38.900001525878906,39.040000915527344,39.040000915527344,144600,16.517585259684438,51.99402636337667,38.47595507735929,ENVA,XLF,Financial Services,0.0,1686115200
2023-01-05,38.68000030517578,38.779998779296875,37.810001373291016,37.810001373291016,37.810001373291016,150200,16.675449891946094,54.56942122279814,38.52967372861339,ENVA,XLF,Financial Services,0.0,1686115200
2023-01-06,38.02000045776367,39.119998931884766,37.9900016784668,38.84000015258789,38.84000015258789,146400,15.559879356679861,46.508466207718065,38.461133504296974,ENVA,XLF,Financial Services,1.0,1686115200
2023-01-09,39.040000915527344,39.244998931884766,38.470001220703125,38.529998779296875,38.529998779296875,106800,14.86050020723045,52.79666518006416,38.49721604222944,ENVA,XLF,Financial Services,1.0,1686115200
2023-01-10,38.220001220703125,39.6349983215332,38.08000183105469,39.56999969482422,39.56999969482422,133500,14.33561771183034,50.85881992201615,38.500338207664434,ENVA,XLF,Financial Services,1.0,1686115200
2023-01-11,39.63999938964844,40.34000015258789,39.560001373291016,40.31999969482422,40.31999969482422,90600,13.848226823244525,56.61233982673021,38.60221073025108,ENVA,XLF,Financial Services,1.0,1686115200
2023-01-12,40.540000915527344,41.290000915527344,40.150001525878906,40.779998779296875,40.779998779296875,136300,14.108885999136547,60.22868757997733,38.76580967925805,ENVA,XLF,Financial Services,1.0,1686115200
2023-01-13,40.86000061035156,41.43000030517578,40.60499954223633,41.16999816894531,41.16999816894531,108300,15.149148865125055,62.303982458917936,38.95763721259508,ENVA,XLF,Financial Services,1.0,1686115200
2023-01-17,40.970001220703125,41.314998626708984,40.47999954223633,40.66999816894531,40.66999816894531,126300,16.222324072981802,64.01826964873057,39.168338256057005,ENVA,XLF,Financial Services,1.0,1686115200
2023-01-18,40.66999816894531,41.18000030517578,40.040000915527344,40.209999084472656,40.209999084472656,95900,17.034428318028574,60.23614334925107,39.31135348585589,ENVA,XLF,Financial Services,1.0,1686115200
2023-01-19,39.7400016784668,40.02000045776367,38.86000061035156,39.720001220703125,39.720001220703125,114900,17.15123029814845,56.90528368665658,39.396938780962245,ENVA,XLF,Financial Services,1.0,1686115200
2023-01-20,40.09000015258789,40.959999084472656,39.59000015258789,40.959999084472656,40.959999084472656,147900,16.016836711081357,53.51088233427744,39.42770663236614,ENVA,XLF,Financial Services,0.0,1686115200
2023-01-23,41.0,41.220001220703125,40.65999984741211,41.209999084472656,41.209999084472656,128500,15.693404769543518,60.01153248056339,39.57363924685247,ENVA,XLF,Financial Services,0.0,1686115200
2023-01-24,40.84000015258789,41.86000061035156,40.689998626708984,41.4900016784668,41.4900016784668,108000,15.621753517477808,61.189829543982185,39.72948304091154,ENVA,XLF,Financial Services,0.0,1686115200
2023-01-25,41.119998931884766,42.1150016784668,40.88999938964844,41.88999938964844,41.88999938964844,85700,16.088369018682595,62.521832272008005,39.89715148258347,ENVA,XLF,Financial Services,1.0,1686115200
2023-01-26,42.02000045776367,43.880001068115234,41.939998626708984,43.75,43.75,294900,16.722853626518297,64.40146017519555,40.08694652135156,ENVA,XLF,Financial Services,1.0,1686115200
2023-01-27,43.63999938964844,44.63999938964844,43.58000183105469,44.29999923706055,44.29999923706055,158300,18.450431586505285,71.54735266283755,40.43580875741331,ENVA,XLF,Financial Services,1.0,1686115200
