Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,Ticker,Corresponding ETF,Sector,SP,Market Cap
2023-01-03,36.560001373291016,36.77000045776367,36.08000183105469,36.47999954223633,36.47999954223633,157800,,,,FBK,XLF,Financial Services,,1738544896
2023-01-04,36.849998474121094,37.0099983215332,36.38999938964844,36.4900016784668,36.4900016784668,138700,32.92069854826194,38.501597137497306,37.547767497158794,FBK,XLF,Financial Services,0.0,1738544896
2023-01-05,36.189998626708984,36.44900131225586,35.81800079345703,36.290000915527344,36.290000915527344,119600,32.992179203630556,38.58933723711445,37.4470278953786,FBK,XLF,Financial Services,0.0,1738544896
2023-01-06,36.5,37.369998931884766,36.48400115966797,37.09000015258789,37.09000015258789,76000,33.45662662120245,37.43911070623397,37.33683484967848,FBK,XLF,Financial Services,1.0,1738544896
2023-01-09,36.9900016784668,36.9900016784668,36.41999816894531,36.529998779296875,36.529998779296875,89000,32.616653099042786,44.55778666626854,37.3133267832889,FBK,XLF,Financial Services,1.0,1738544896
2023-01-10,36.400001525878906,37.5,36.3849983215332,36.83000183105469,36.83000183105469,135800,31.889577053415316,41.03762408311545,37.23872411624204,FBK,XLF,Financial Services,1.0,1738544896
2023-01-11,36.84000015258789,37.2599983215332,36.84000015258789,37.0099983215332,37.0099983215332,75000,30.557913164245814,43.607893757674695,37.199798184319434,FBK,XLF,Financial Services,1.0,1738544896
2023-01-12,37.29999923706055,37.880001068115234,36.959999084472656,37.56999969482422,37.56999969482422,72200,29.321368124302705,45.15272768615573,37.18172200691122,FBK,XLF,Financial Services,1.0,1738544896
2023-01-13,37.189998626708984,37.880001068115234,36.650001525878906,37.68000030517578,37.68000030517578,77700,27.398936168175393,49.76368397414077,37.21870083433151,FBK,XLF,Financial Services,1.0,1738544896
2023-01-17,36.689998626708984,37.89500045776367,36.12200164794922,36.959999084472656,36.959999084472656,165800,25.95546810216129,50.64147042047489,37.26263411726906,FBK,XLF,Financial Services,1.0,1738544896
2023-01-18,36.5099983215332,36.65999984741211,35.689998626708984,35.70000076293945,35.70000076293945,170200,25.161904533335843,45.0881091073158,37.233811733193214,FBK,XLF,Financial Services,1.0,1738544896
2023-01-19,35.380001068115234,36.16999816894531,35.220001220703125,36.09000015258789,36.09000015258789,134000,24.83713189342556,37.365827352742,37.08773449793095,FBK,XLF,Financial Services,1.0,1738544896
2023-01-20,36.560001373291016,36.832000732421875,36.13999938964844,36.630001068115234,36.630001068115234,157400,24.952579893148908,40.74851210351138,36.99271217932685,FBK,XLF,Financial Services,0.0,1738544896
2023-01-23,36.65999984741211,36.939998626708984,36.43000030517578,36.58000183105469,36.58000183105469,101500,24.15327886394559,45.16449403470874,36.95816826397336,FBK,XLF,Financial Services,0.0,1738544896
2023-01-24,36.06999969482422,36.439998626708984,36.06999969482422,36.150001525878906,36.150001525878906,85700,23.270275949470708,44.831326114823646,36.9221524132192,FBK,XLF,Financial Services,0.0,1738544896
2023-01-25,35.86000061035156,36.36000061035156,35.369998931884766,36.34000015258789,36.34000015258789,104200,22.819293563496064,41.96427261266536,36.84861423347251,FBK,XLF,Financial Services,1.0,1738544896
2023-01-26,36.689998626708984,37.459999084472656,36.362998962402344,37.310001373291016,37.310001373291016,146600,23.048422844121745,43.67821800407401,36.80017479719778,FBK,XLF,Financial Services,1.0,1738544896
2023-01-27,37.33000183105469,37.479000091552734,36.70000076293945,36.83000183105469,36.83000183105469,94900,21.856813659879954,51.54577195589318,36.848729709206665,FBK,XLF,Financial Services,1.0,1738544896
2023-01-30,36.45000076293945,36.88100051879883,36.45000076293945,36.61000061035156,36.61000061035156,78400,20.72833417282362,47.97446860533226,36.84694610176362,FBK,XLF,Financial Services,1.0,1738544896
2023-01-31,36.630001068115234,37.56999969482422,36.47999954223633,37.560001373291016,37.560001373291016,214400,19.944752809365248,46.38808190869341,36.82437986448628,FBK,XLF,Financial Services,1.0,1738544896
2023-02-01,37.529998779296875,38.16999816894531,37.099998474121094,37.650001525878906,37.650001525878906,136300,18.643675322615593,53.5334251246697,36.894439055801016,FBK,XLF,Financial Services,1.0,1738544896
2023-02-02,37.72999954223633,38.939998626708984,37.72999954223633,38.939998626708984,38.939998626708984,110500,18.062937886849127,54.156787757422855,36.966397386284626,FBK,XLF,Financial Services,1.0,1738544896
