Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,Ticker,Corresponding ETF,Sector,SP,Market Cap
2023-01-03,11.569999694824219,11.668999671936035,11.380000114440918,11.569999694824219,11.569999694824219,561300,,,,GTES,XLI,Industrials,,4553239552
2023-01-04,11.699999809265137,11.869999885559082,11.59000015258789,11.829999923706055,11.829999923706055,413900,10.285912413749841,56.328612407145265,11.242482517533675,GTES,XLI,Industrials,0.0,4553239552
2023-01-05,11.800000190734863,12.010000228881836,11.729999542236328,12.010000228881836,12.010000228881836,386600,11.209003756484975,60.13997913540634,11.298436556216759,GTES,XLI,Industrials,0.0,4553239552
2023-01-06,12.149999618530273,12.40999984741211,12.149999618530273,12.40999984741211,12.40999984741211,343400,12.401724524500137,62.57514247711239,11.366204525042004,GTES,XLI,Industrials,0.0,4553239552
2023-01-09,12.550000190734863,12.649999618530273,12.395000457763672,12.449999809265137,12.449999809265137,449500,14.325026381698487,67.34889094766704,11.465613603362966,GTES,XLI,Industrials,0.0,4553239552
2023-01-10,12.369999885559082,12.5600004196167,12.369999885559082,12.550000190734863,12.550000190734863,420500,16.51336823202022,67.79133341512592,11.559364670591744,GTES,XLI,Industrials,0.0,4553239552
2023-01-11,12.59000015258789,12.680000305175781,12.529999732971191,12.65999984741211,12.65999984741211,421800,18.43865034706462,68.92502876798673,11.653710910605374,GTES,XLI,Industrials,1.0,4553239552
2023-01-12,12.770000457763672,12.84000015258789,12.649999618530273,12.720000267028809,12.720000267028809,385800,20.43071746476175,70.16887751314985,11.749547952206015,GTES,XLI,Industrials,1.0,4553239552
2023-01-13,12.640000343322754,12.739999771118164,12.59000015258789,12.729999542236328,12.729999542236328,256500,22.540148966987655,70.85417760895858,11.841971982189138,GTES,XLI,Industrials,1.0,4553239552
2023-01-17,12.739999771118164,12.755000114440918,12.524999618530273,12.539999961853027,12.539999961853027,369900,24.213724766275373,70.9738515316907,11.926546035526966,GTES,XLI,Industrials,1.0,4553239552
