Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,Ticker,Corresponding ETF,Sector,SP,Market Cap
2023-01-03,24.770000457763672,24.969999313354492,24.329999923706055,24.59000015258789,24.59000015258789,128700,,,,HAFC,XLF,Financial Services,,478900704
2023-01-04,24.600000381469727,25.09000015258789,24.360000610351562,24.579999923706055,24.579999923706055,115700,11.976524449106323,44.74785562765899,24.886357867539907,HAFC,XLF,Financial Services,0.0,478900704
2023-01-05,24.3799991607666,24.3799991607666,24.059999465942383,24.200000762939453,24.200000762939453,86500,11.451527244233649,44.635994959786466,24.85718092050811,HAFC,XLF,Financial Services,0.0,478900704
2023-01-06,24.389999389648438,24.700000762939453,24.389999389648438,24.649999618530273,24.649999618530273,83500,11.539800618951535,40.49362211379907,24.794592334073,HAFC,XLF,Financial Services,1.0,478900704
2023-01-09,24.809999465942383,24.809999465942383,24.1200008392334,24.260000228881836,24.260000228881836,174500,10.90945725108549,46.791035834161775,24.780821599259404,HAFC,XLF,Financial Services,1.0,478900704
2023-01-10,24.209999084472656,24.540000915527344,24.1200008392334,24.40999984741211,24.40999984741211,93300,10.841322973585408,42.58482728485208,24.73121956398535,HAFC,XLF,Financial Services,1.0,478900704
2023-01-11,24.520000457763672,24.790000915527344,24.3799991607666,24.75,24.75,275700,10.778055430192472,44.64587956084352,24.700627210025992,HAFC,XLF,Financial Services,1.0,478900704
2023-01-12,24.950000762939453,25.510000228881836,24.940000534057617,25.3799991607666,25.3799991607666,342500,10.138045209629329,49.105584286175066,24.705329380499705,HAFC,XLF,Financial Services,1.0,478900704
2023-01-13,25.09000015258789,25.459999084472656,24.729999542236328,25.329999923706055,25.329999923706055,158100,10.641775759157412,56.15456156150277,24.769583645287028,HAFC,XLF,Financial Services,1.0,478900704
2023-01-17,25.25,25.3700008392334,24.81999969482422,25.0,25.0,98900,10.645858924447628,55.49760252656313,24.82295662418408,HAFC,XLF,Financial Services,1.0,478900704
2023-01-18,24.84000015258789,24.90999984741211,24.1299991607666,24.15999984741211,24.15999984741211,93000,10.64965043507426,51.236990335763245,24.83981789807131,HAFC,XLF,Financial Services,1.0,478900704
