Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,Ticker,Corresponding ETF,Sector,SP,Market Cap
2023-01-03,3.4700000286102295,3.619999885559082,3.4700000286102295,3.5199999809265137,3.5199999809265137,4257400,,,,HMY,XLB,Basic Materials,,5942464000
2023-01-04,3.690000057220459,3.7899999618530273,3.640000104904175,3.7799999713897705,3.7799999713897705,4766600,13.791439209505288,56.651638560654106,3.4118392447869943,HMY,XLB,Basic Materials,0.0,5942464000
2023-01-05,3.7200000286102295,3.759999990463257,3.630000114440918,3.759999990463257,3.759999990463257,2805500,14.39956943077519,65.50500865669669,3.446902171130116,HMY,XLB,Basic Materials,0.0,5942464000
2023-01-06,3.8399999141693115,3.869999885559082,3.7699999809265137,3.8299999237060547,3.8299999237060547,4123100,14.884875952267993,64.41516305274543,3.476721011066606,HMY,XLB,Basic Materials,0.0,5942464000
2023-01-09,3.930000066757202,3.990000009536743,3.869999885559082,3.9000000953674316,3.9000000953674316,4786000,15.882576193206406,66.51503606324768,3.5103666217941725,HMY,XLB,Basic Materials,0.0,5942464000
2023-01-10,3.950000047683716,3.9800000190734863,3.880000114440918,3.950000047683716,3.950000047683716,2567100,17.329789915001523,68.5158477605722,3.5474745716582925,HMY,XLB,Basic Materials,0.0,5942464000
2023-01-11,4.03000020980835,4.050000190734863,3.9100000858306885,3.990000009536743,3.990000009536743,3552900,18.67363122809699,69.8993730197505,3.5858103312797613,HMY,XLB,Basic Materials,1.0,5942464000
2023-01-12,4.079999923706055,4.110000133514404,3.9700000286102295,4.010000228881836,4.010000228881836,3794900,20.21719957527443,70.99738460535583,3.624304586351855,HMY,XLB,Basic Materials,1.0,5942464000
2023-01-13,4.050000190734863,4.130000114440918,3.990000009536743,4.070000171661377,4.070000171661377,3757800,21.891368859265395,71.55608706871297,3.6610375046880437,HMY,XLB,Basic Materials,1.0,5942464000
2023-01-17,3.9100000858306885,3.930000066757202,3.7699999809265137,3.819999933242798,3.819999933242798,3881300,23.525912769762886,73.222614095529,3.6999863301140756,HMY,XLB,Basic Materials,1.0,5942464000
2023-01-18,3.9200000762939453,3.940000057220459,3.7100000381469727,3.7200000286102295,3.7200000286102295,3899900,23.073584708411488,57.97955402519076,3.711416197078716,HMY,XLB,Basic Materials,1.0,5942464000
2023-01-19,3.75,3.8299999237060547,3.7200000286102295,3.7799999713897705,3.7799999713897705,3457300,22.209988728185124,53.208122327702675,3.712233704843622,HMY,XLB,Basic Materials,1.0,5942464000
2023-01-20,3.740000009536743,3.8399999141693115,3.7300000190734863,3.8399999141693115,3.8399999141693115,2648900,21.408078175117783,55.5706646181686,3.718687634990874,HMY,XLB,Basic Materials,1.0,5942464000
