Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,Ticker,Corresponding ETF,Sector,SP,Market Cap
2023-01-03,25.6200008392334,25.860000610351562,25.200000762939453,25.809999465942383,25.809999465942383,37400,,,,HY,XLI,Industrials,,1269961984
2023-01-04,26.059999465942383,27.350000381469727,26.059999465942383,27.190000534057617,27.190000534057617,38400,26.925742095254723,37.18078467528932,27.148119067246924,HY,XLI,Industrials,0.0,1269961984
2023-01-05,27.299999237060547,27.940000534057617,27.0,27.790000915527344,27.790000915527344,48600,25.61093996846639,48.13591192487472,27.15210777837175,HY,XLI,Industrials,0.0,1269961984
2023-01-06,28.25,29.09000015258789,27.8799991607666,28.950000762939453,28.950000762939453,40600,23.78963130124898,52.051164390345605,27.2128595057199,HY,XLI,Industrials,0.0,1269961984
2023-01-09,29.34000015258789,29.920000076293945,29.200000762939453,29.56999969482422,29.56999969482422,48700,23.119175470954634,58.563894027345185,27.378301530217,HY,XLI,Industrials,0.0,1269961984
2023-01-10,29.59000015258789,30.59000015258789,29.559999465942383,30.290000915527344,30.290000915527344,34300,23.108456186443668,61.56851595415138,27.58703468875102,HY,XLI,Industrials,0.0,1269961984
2023-01-11,30.549999237060547,30.739999771118164,30.3700008392334,30.690000534057617,30.690000534057617,46300,23.53885892270504,64.76391783164004,27.8444600436821,HY,XLI,Industrials,1.0,1269961984
2023-01-12,31.049999237060547,31.139999389648438,30.40999984741211,30.709999084472656,30.709999084472656,103900,24.034343056379026,66.43367440384249,28.11546389990834,HY,XLI,Industrials,1.0,1269961984
2023-01-13,30.43000030517578,31.350000381469727,30.43000030517578,30.790000915527344,30.790000915527344,81100,24.75049387908309,66.51909966182032,28.362562488914467,HY,XLI,Industrials,1.0,1269961984
2023-01-17,30.829999923706055,31.8700008392334,30.829999923706055,31.829999923706055,31.829999923706055,62000,25.54890914866129,66.8822028242444,28.593747100972838,HY,XLI,Industrials,1.0,1269961984
2023-01-18,32.0,32.90999984741211,31.40999984741211,31.700000762939453,31.700000762939453,53900,26.611717307366682,71.2476080563936,28.901961655518857,HY,XLI,Industrials,1.0,1269961984
2023-01-19,31.239999771118164,31.239999771118164,30.40999984741211,30.719999313354492,30.719999313354492,33900,28.157708023685682,70.0054207144309,29.168441570511295,HY,XLI,Industrials,0.0,1269961984
2023-01-20,31.0,31.420000076293945,30.790000915527344,31.219999313354492,31.219999313354492,109600,28.32500892994191,61.32527233596517,29.3162089745916,HY,XLI,Industrials,0.0,1269961984
2023-01-23,31.399999618530273,31.729999542236328,30.950000762939453,31.3700008392334,31.3700008392334,46300,28.59299490022886,63.792036058529725,29.497522340188066,HY,XLI,Industrials,0.0,1269961984
2023-01-24,31.520000457763672,31.770000457763672,31.290000915527344,31.510000228881836,31.510000228881836,30100,29.03775840085849,64.52310155836058,29.67585362581143,HY,XLI,Industrials,0.0,1269961984
2023-01-25,31.18000030517578,31.829999923706055,30.959999084472656,31.690000534057617,31.690000534057617,34200,29.476733085591466,65.22874880679599,29.850534254675278,HY,XLI,Industrials,0.0,1269961984
2023-01-26,31.8799991607666,31.969999313354492,31.200000762939453,31.84000015258789,31.84000015258789,27700,29.4282494941602,66.16070416024216,30.025721519378358,HY,XLI,Industrials,1.0,1269961984
2023-01-27,31.690000534057617,32.310001373291016,31.270000457763672,31.530000686645508,31.530000686645508,42200,29.49066599482773,66.95553571640309,30.198509960636407,HY,XLI,Industrials,1.0,1269961984
2023-01-30,31.209999084472656,31.81999969482422,31.0,31.59000015258789,31.59000015258789,40700,29.809279171021046,63.62920260504821,30.325318601208703,HY,XLI,Industrials,1.0,1269961984
2023-01-31,31.739999771118164,32.470001220703125,31.59000015258789,32.43000030517578,32.43000030517578,125400,29.695083517777995,64.0019625140442,30.445764463244817,HY,XLI,Industrials,1.0,1269961984
2023-02-01,32.38999938964844,33.470001220703125,32.380001068115234,33.130001068115234,33.130001068115234,81100,30.10182223708539,68.81999014298039,30.63473930533348,HY,XLI,Industrials,1.0,1269961984
2023-02-02,33.459999084472656,34.34000015258789,33.41999816894531,33.900001525878906,33.900001525878906,59500,31.135447050513267,72.16354339638052,30.872383282741264,HY,XLI,Industrials,1.0,1269961984
2023-02-03,33.72999954223633,33.7599983215332,32.9900016784668,33.18000030517578,33.18000030517578,50900,32.56050035059459,75.301069180985,31.1607278773258,HY,XLI,Industrials,1.0,1269961984
2023-02-06,33.0,33.0099983215332,32.20000076293945,32.349998474121094,32.349998474121094,36300,33.248468202415,67.62549708826582,31.353039537121038,HY,XLI,Industrials,1.0,1269961984
2023-02-07,32.220001220703125,32.220001220703125,31.110000610351562,31.8700008392334,31.8700008392334,33900,32.827735380366114,60.029188701510904,31.44798800731152,HY,XLI,Industrials,1.0,1269961984
2023-02-08,31.510000228881836,31.850000381469727,31.3799991607666,31.5,31.5,34400,31.21616970681037,56.10425228051395,31.488179705589793,HY,XLI,Industrials,1.0,1269961984
2023-02-09,31.799999237060547,32.16999816894531,30.31999969482422,30.6299991607666,30.6299991607666,32100,29.71971586708003,53.215838824947305,31.489305447914575,HY,XLI,Industrials,1.0,1269961984
2023-02-10,30.549999237060547,31.399999618530273,30.399999618530273,31.270000457763672,31.270000457763672,33400,27.899045062351064,47.078403191255894,31.407466753900483,HY,XLI,Industrials,1.0,1269961984
2023-02-13,31.270000457763672,31.360000610351562,30.780000686645508,31.040000915527344,31.040000915527344,30500,26.208422172245598,51.50891413504145,31.394374725696977,HY,XLI,Industrials,1.0,1269961984
2023-02-14,30.989999771118164,31.040000915527344,30.549999237060547,30.670000076293945,30.670000076293945,33600,24.638558060004804,49.8923763348018,31.360624839014154,HY,XLI,Industrials,1.0,1269961984
2023-02-15,30.469999313354492,31.110000610351562,30.299999237060547,30.59000015258789,30.59000015258789,51600,23.41616219604033,47.31958357602984,31.29485105208842,HY,XLI,Industrials,1.0,1269961984
2023-02-16,30.299999237060547,30.6200008392334,29.719999313354492,30.3799991607666,30.3799991607666,38800,22.53678049815313,46.75814859430578,31.22772239499313,HY,XLI,Industrials,1.0,1269961984
2023-02-17,30.559999465942383,30.690000534057617,30.040000915527344,30.459999084472656,30.459999084472656,122200,22.28017901055216,45.240732657565395,31.146986848876317,HY,XLI,Industrials,1.0,1269961984
2023-02-21,30.219999313354492,30.860000610351562,29.979999542236328,30.0,30.0,51900,21.94562721375733,45.96020472803474,31.081559442742634,HY,XLI,Industrials,1.0,1269961984
2023-02-22,30.0,30.329999923706055,29.260000228881836,29.56999969482422,29.56999969482422,50500,21.39318391583988,42.50224258574041,30.97855378152905,HY,XLI,Industrials,0.0,1269961984
2023-02-23,29.690000534057617,32.099998474121094,29.56999969482422,31.8700008392334,31.8700008392334,105900,21.591354196652166,39.50971183548217,30.844405773271447,HY,XLI,Industrials,0.0,1269961984
2023-02-24,31.469999313354492,32.7599983215332,31.3799991607666,31.84000015258789,31.84000015258789,80300,20.40739811744833,56.96401443380973,30.94208149383925,HY,XLI,Industrials,0.0,1269961984
2023-02-27,32.2599983215332,33.34000015258789,32.0,32.56999969482422,32.56999969482422,62000,19.89312273684386,56.734056440629566,31.027597556577216,HY,XLI,Industrials,0.0,1269961984
2023-02-28,34.900001525878906,39.7599983215332,34.0,38.90999984741211,38.90999984741211,253600,19.88338853782014,60.873095189961276,31.174492998315028,HY,XLI,Industrials,0.0,1269961984
2023-03-01,38.56999969482422,43.869998931884766,38.56999969482422,43.869998931884766,43.869998931884766,211500,22.5885562613052,79.34989921291816,31.911207936324274,HY,XLI,Industrials,0.0,1269961984
2023-03-02,43.31999969482422,44.63999938964844,42.70000076293945,44.27000045776367,44.27000045776367,130700,25.843164657853894,85.22732847895287,33.05014041209194,HY,XLI,Industrials,0.0,1269961984
2023-03-03,44.650001525878906,48.400001525878906,44.130001068115234,47.7599983215332,47.7599983215332,224800,28.972917778352016,85.5836846182776,34.118698511679725,HY,XLI,Industrials,0.0,1269961984
2023-03-06,48.04999923706055,48.79999923706055,46.5,47.900001525878906,47.900001525878906,179600,32.31086142077934,88.247497690319,35.41786992214196,HY,XLI,Industrials,0.0,1269961984
2023-03-07,47.869998931884766,48.34000015258789,45.13999938964844,46.27000045776367,46.27000045776367,135100,35.449105622328936,88.34057080728742,36.6066443605931,HY,XLI,Industrials,1.0,1269961984
2023-03-08,46.0,46.709999084472656,45.20000076293945,46.619998931884766,46.619998931884766,85500,37.41228461077145,80.3610951121899,37.52696398889506,HY,XLI,Industrials,1.0,1269961984
2023-03-09,46.790000915527344,47.06999969482422,45.20000076293945,45.22999954223633,45.22999954223633,81000,39.235236528610926,80.76290134815011,38.392967316798845,HY,XLI,Industrials,1.0,1269961984
2023-03-10,44.880001068115234,46.439998626708984,44.33000183105469,45.58000183105469,45.58000183105469,94700,40.98798089287909,74.26439984835257,39.044113243030985,HY,XLI,Industrials,0.0,1269961984
2023-03-13,44.720001220703125,45.040000915527344,43.15999984741211,44.34000015258789,44.34000015258789,95400,41.96397542889573,74.81394380648781,39.666578822842766,HY,XLI,Industrials,0.0,1269961984
2023-03-14,45.54999923706055,46.060001373291016,44.560001373291016,45.08000183105469,45.08000183105469,96300,42.0456949419354,69.17793332077142,40.111666568532776,HY,XLI,Industrials,0.0,1269961984
2023-03-15,43.970001220703125,43.97999954223633,41.68000030517578,43.33000183105469,43.33000183105469,156200,42.387711506030904,70.60128652701006,40.58484135543962,HY,XLI,Industrials,0.0,1269961984
2023-03-16,42.790000915527344,45.16999816894531,42.09000015258789,44.7400016784668,44.7400016784668,83200,40.96355602859144,63.17171722227234,40.846285210260106,HY,XLI,Industrials,0.0,1269961984
2023-03-17,44.27000045776367,44.5099983215332,41.93000030517578,42.369998931884766,42.369998931884766,407800,40.02229527144112,66.2531322297219,41.217115350089315,HY,XLI,Industrials,0.0,1269961984
2023-03-20,43.02000045776367,45.130001068115234,42.33000183105469,44.40999984741211,44.40999984741211,70700,39.058220573554046,57.53862785626125,41.32691378645079,HY,XLI,Industrials,0.0,1269961984
2023-03-21,45.400001525878906,46.5099983215332,45.400001525878906,45.90999984741211,45.90999984741211,80500,38.3705289086485,62.15320188058936,41.620541030351866,HY,XLI,Industrials,0.0,1269961984
2023-03-22,45.90999984741211,47.099998474121094,45.25,45.66999816894531,45.66999816894531,93800,38.168355255263485,65.15208774676937,42.029060917690934,HY,XLI,Industrials,0.0,1269961984
2023-03-23,45.689998626708984,47.88999938964844,44.93000030517578,46.47999954223633,46.47999954223633,129600,38.157119819412415,64.27452660656601,42.37581684638183,HY,XLI,Industrials,0.0,1269961984
2023-03-24,45.849998474121094,45.849998474121094,44.220001220703125,45.25,45.25,82300,38.37861673823709,65.9418734851965,42.766691388844166,HY,XLI,Industrials,0.0,1269961984
2023-03-27,45.86000061035156,47.849998474121094,45.2400016784668,47.70000076293945,47.70000076293945,101400,38.09744498782694,61.26591376057854,43.00319697085901,HY,XLI,Industrials,0.0,1269961984
2023-03-28,47.5099983215332,47.77000045776367,46.459999084472656,47.560001373291016,47.560001373291016,83200,38.43426497726653,66.37984765946572,43.45051161772381,HY,XLI,Industrials,0.0,1269961984
2023-03-29,48.060001373291016,48.779998779296875,47.689998626708984,48.779998779296875,48.779998779296875,71800,38.74702639603186,65.84487892071064,43.8418915944445,HY,XLI,Industrials,0.0,1269961984
2023-03-30,49.09000015258789,49.689998626708984,48.18000030517578,48.79999923706055,48.79999923706055,60100,39.32166307923452,68.24648312002972,44.31218751681139,HY,XLI,Industrials,0.0,1269961984
2023-03-31,49.2400016784668,50.029998779296875,49.209999084472656,49.88999938964844,49.88999938964844,179600,40.09561281944928,68.28585302363703,44.73959815683512,HY,XLI,Industrials,0.0,1269961984
2023-04-03,49.79999923706055,50.41999816894531,48.77000045776367,49.7400016784668,49.7400016784668,104200,40.90262828940253,70.43710270759425,45.2301125599602,HY,XLI,Industrials,0.0,1269961984
2023-04-04,49.560001373291016,49.720001220703125,47.4900016784668,47.900001525878906,47.900001525878906,159700,41.290514409208114,69.73607043196107,45.659625809341776,HY,XLI,Industrials,0.0,1269961984
2023-04-05,47.439998626708984,47.79999923706055,46.36000061035156,46.599998474121094,46.599998474121094,77600,40.659831892450846,61.63270097161041,45.872994925202455,HY,XLI,Industrials,0.0,1269961984
2023-04-06,46.7599983215332,46.90999984741211,45.439998626708984,45.560001373291016,45.560001373291016,67200,39.29196546427732,56.626173747754535,45.9422333584328,HY,XLI,Industrials,0.0,1269961984
2023-04-10,45.45000076293945,46.4900016784668,44.900001525878906,46.349998474121094,46.349998474121094,72100,37.43517839997104,52.92245656115735,45.90583031222882,HY,XLI,Industrials,0.0,1269961984
2023-04-11,46.43000030517578,47.86000061035156,46.43000030517578,46.88999938964844,46.88999938964844,72600,35.37944049338312,55.31343481387909,45.94813204193285,HY,XLI,Industrials,0.0,1269961984
2023-04-12,47.689998626708984,48.34000015258789,47.290000915527344,47.88999938964844,47.88999938964844,44500,34.127416904570566,56.92390196861305,46.03783369409624,HY,XLI,Industrials,0.0,1269961984
2023-04-13,48.060001373291016,49.310001373291016,47.63999938964844,49.189998626708984,49.189998626708984,80400,33.17956360967515,59.81230742284461,46.21423042700597,HY,XLI,Industrials,0.0,1269961984
2023-04-14,49.439998626708984,50.45000076293945,48.95000076293945,49.43000030517578,49.43000030517578,86400,32.716433884637304,63.26116282844031,46.49763692221578,HY,XLI,Industrials,0.0,1269961984
2023-04-17,49.86000061035156,50.75,49.400001525878906,50.7400016784668,50.7400016784668,77800,32.73350792664814,63.8774961196354,46.77690962535483,HY,XLI,Industrials,0.0,1269961984
2023-04-18,50.900001525878906,52.18000030517578,50.66999816894531,52.16999816894531,52.16999816894531,81400,32.862518097172526,67.11988909318583,47.15434696374645,HY,XLI,Industrials,0.0,1269961984
2023-04-19,51.70000076293945,52.93000030517578,51.09000015258789,52.68000030517578,52.68000030517578,92300,33.48810567608132,70.25824569022335,47.632028030908245,HY,XLI,Industrials,0.0,1269961984
2023-04-20,52.13999938964844,53.029998779296875,51.880001068115234,52.47999954223633,52.47999954223633,70200,34.309116406576244,71.31001628303237,48.1127872951242,HY,XLI,Industrials,0.0,1269961984
