Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,Ticker,Corresponding ETF,Sector,SP,Market Cap
2023-01-03,14.819999694824219,15.479999542236328,14.819999694824219,15.260000228881836,15.260000228881836,191400,,,,IFN,XLF,Financial Services,,644058752
2023-01-04,15.300000190734863,15.430000305175781,15.170000076293945,15.210000038146973,15.210000038146973,114700,28.843082920539562,44.40128491697594,15.362430654343447,IFN,XLF,Financial Services,0.0,644058752
2023-01-05,15.130000114440918,15.220000267028809,15.09000015258789,15.100000381469727,15.100000381469727,66900,27.602849987689865,43.41394640634033,15.347913452800926,IFN,XLF,Financial Services,0.0,644058752
2023-01-06,15.220000267028809,15.359999656677246,15.180000305175781,15.229999542236328,15.229999542236328,115300,26.70628013811446,41.24121357425888,15.324302684102717,IFN,XLF,Financial Services,1.0,644058752
2023-01-09,15.279999732971191,15.399999618530273,15.279999732971191,15.34000015258789,15.34000015258789,87500,25.293102713064805,44.759784636873576,15.315321432496395,IFN,XLF,Financial Services,1.0,644058752
2023-01-10,15.350000381469727,15.430000305175781,15.329999923706055,15.430000305175781,15.430000305175781,102200,23.81836143575544,47.618123979774516,15.317671786790823,IFN,XLF,Financial Services,1.0,644058752
2023-01-11,15.550000190734863,15.760000228881836,15.520000457763672,15.600000381469727,15.600000381469727,151500,22.322664990773195,49.902196773558714,15.328369740922724,IFN,XLF,Financial Services,1.0,644058752
2023-01-12,15.680000305175781,15.720000267028809,15.550000190734863,15.630000114440918,15.630000114440918,122600,21.748075790696294,53.9837949395342,15.354239325736724,IFN,XLF,Financial Services,1.0,644058752
2023-01-13,15.59000015258789,15.65999984741211,15.59000015258789,15.600000381469727,15.600000381469727,93900,21.21452867633917,54.68541584148716,15.380502257994266,IFN,XLF,Financial Services,1.0,644058752
2023-01-17,15.699999809265137,15.760000228881836,15.670000076293945,15.699999809265137,15.699999809265137,125100,20.719092070150417,53.80198070823896,15.401406841182405,IFN,XLF,Financial Services,1.0,644058752
2023-01-18,15.800000190734863,15.850000381469727,15.729999542236328,15.75,15.75,83700,20.62257288082768,56.33424444762414,15.429844266714094,IFN,XLF,Financial Services,1.0,644058752
2023-01-19,15.699999809265137,15.880000114440918,15.649999618530273,15.779999732971191,15.779999732971191,199200,20.846337832380065,57.58609551450814,15.460335288931798,IFN,XLF,Financial Services,1.0,644058752
2023-01-20,15.859999656677246,15.859999656677246,15.770000457763672,15.800000190734863,15.800000190734863,97100,20.616477145804716,58.35749429841927,15.490779521697455,IFN,XLF,Financial Services,0.0,644058752
2023-01-23,15.899999618530273,16.06999969482422,15.859999656677246,16.0,16.0,239500,20.403035079699034,58.894254680118905,15.520229109224827,IFN,XLF,Financial Services,0.0,644058752
2023-01-24,16.15999984741211,16.950000762939453,15.90999984741211,16.190000534057617,16.190000534057617,309000,20.975496891420335,63.90462155908104,15.565921575012938,IFN,XLF,Financial Services,0.0,644058752
2023-01-25,16.149999618530273,16.239999771118164,16.06999969482422,16.110000610351562,16.110000610351562,175800,23.40657952061176,67.90674673090916,15.625357666350526,IFN,XLF,Financial Services,1.0,644058752
2023-01-26,16.110000610351562,16.270000457763672,16.110000610351562,16.200000762939453,16.200000762939453,136900,25.664013390575228,64.65611259260706,15.671514137207767,IFN,XLF,Financial Services,1.0,644058752
2023-01-27,16.06999969482422,16.079999923706055,15.829999923706055,15.920000076293945,15.920000076293945,225000,27.806720859448507,66.59353384960761,15.72184619680126,IFN,XLF,Financial Services,1.0,644058752
2023-01-30,15.899999618530273,15.960000038146973,15.850000381469727,15.9399995803833,15.9399995803833,134700,28.38410122495541,56.26078111136299,15.740717994848183,IFN,XLF,Financial Services,1.0,644058752
2023-01-31,15.979999542236328,15.989999771118164,15.899999618530273,15.989999771118164,15.989999771118164,105700,28.920240135783246,56.776659244816464,15.759697193470576,IFN,XLF,Financial Services,1.0,644058752
