Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,Ticker,Corresponding ETF,Sector,SP,Market Cap
2023-01-03,30.010000228881836,30.459999084472656,29.520000457763672,30.329999923706055,30.329999923706055,52700,,,,MPB,XLF,Financial Services,,357151008
2023-01-04,30.530000686645508,30.700000762939453,30.0,30.059999465942383,30.059999465942383,21100,23.919553993108998,37.20017664915572,31.27438615997393,MPB,XLF,Financial Services,0.0,357151008
2023-01-05,30.059999465942383,30.299999237060547,30.059999465942383,30.260000228881836,30.260000228881836,41200,24.8677362174943,35.10900859309361,31.158730284351876,MPB,XLF,Financial Services,0.0,357151008
2023-01-06,30.31999969482422,30.950000762939453,30.31999969482422,30.639999389648438,30.639999389648438,22700,25.748191140137795,37.8940335642109,31.07313694573568,MPB,XLF,Financial Services,1.0,357151008
2023-01-09,30.6299991607666,30.690000534057617,30.200000762939453,30.309999465942383,30.309999465942383,17900,24.98233922416996,42.907726056356616,31.031885749917848,MPB,XLF,Financial Services,1.0,357151008
2023-01-10,30.290000915527344,30.700000762939453,30.290000915527344,30.450000762939453,30.450000762939453,17100,24.460103319432317,39.895650863471026,30.963134675253517,MPB,XLF,Financial Services,1.0,357151008
2023-01-11,30.389999389648438,30.440000534057617,30.219999313354492,30.31999969482422,30.31999969482422,19600,23.951757310577147,41.76344450668525,30.914264778842654,MPB,XLF,Financial Services,1.0,357151008
2023-01-12,30.34000015258789,30.75,30.34000015258789,30.600000381469727,30.600000381469727,32500,23.601149260315346,40.50472706712731,30.85766810417423,MPB,XLF,Financial Services,1.0,357151008
2023-01-13,30.350000381469727,30.600000381469727,30.059999465942383,30.540000915527344,30.540000915527344,15500,22.51605425951256,44.392176015972055,30.833128321059515,MPB,XLF,Financial Services,1.0,357151008
2023-01-17,30.540000915527344,30.600000381469727,30.219999313354492,30.56999969482422,30.56999969482422,30500,22.03144960135734,43.73275610340791,30.805211425294548,MPB,XLF,Financial Services,1.0,357151008
2023-01-18,30.739999771118164,30.760000228881836,30.059999465942383,30.09000015258789,30.09000015258789,35700,21.581459561641783,44.17922618098301,30.782810308106896,MPB,XLF,Financial Services,1.0,357151008
2023-01-19,30.149999618530273,30.610000610351562,30.149999618530273,30.3799991607666,30.3799991607666,38700,21.16361166762019,38.86524460932645,30.716828388533656,MPB,XLF,Financial Services,1.0,357151008
2023-01-20,30.65999984741211,30.829999923706055,30.18000030517578,30.530000686645508,30.530000686645508,83200,20.775610051742998,43.302422262894375,30.684749414460605,MPB,XLF,Financial Services,0.0,357151008
2023-01-23,30.610000610351562,30.639999389648438,30.270000457763672,30.43000030517578,30.43000030517578,25500,19.771347340225216,45.50562353482472,30.670011440382975,MPB,XLF,Financial Services,0.0,357151008
2023-01-24,30.280000686645508,30.389999389648438,30.170000076293945,30.280000686645508,30.280000686645508,18700,18.83881767953013,44.270543267464774,30.647153237029908,MPB,XLF,Financial Services,0.0,357151008
2023-01-25,30.079999923706055,30.329999923706055,29.860000610351562,30.280000686645508,30.280000686645508,18800,18.235739928855928,42.41110041362236,30.612186327469487,MPB,XLF,Financial Services,1.0,357151008
2023-01-26,30.309999465942383,30.459999084472656,30.0,30.360000610351562,30.360000610351562,23100,18.420527179039958,42.41110041362236,30.580549599771967,MPB,XLF,Financial Services,1.0,357151008
2023-01-27,30.350000381469727,30.59000015258789,30.229999542236328,30.549999237060547,30.549999237060547,17000,18.161218704716482,43.86936629420535,30.559544934112882,MPB,XLF,Financial Services,1.0,357151008
2023-01-30,30.420000076293945,30.770000457763672,30.399999618530273,30.639999389648438,30.639999389648438,24700,17.5020490600736,47.28357051265232,30.5586358201079,MPB,XLF,Financial Services,1.0,357151008
2023-01-31,30.75,31.520000457763672,30.75,31.469999313354492,31.469999313354492,44400,16.33979917504801,48.87007807295058,30.56638473149271,MPB,XLF,Financial Services,1.0,357151008
2023-02-01,31.299999237060547,31.700000762939453,31.290000915527344,31.479999542236328,31.479999542236328,35100,16.826346390173427,60.63576867660211,30.652443263098593,MPB,XLF,Financial Services,1.0,357151008
2023-02-02,31.68000030517578,32.0,30.959999084472656,31.959999084472656,31.959999084472656,30500,17.5998279912886,60.75295201371138,30.731258146825997,MPB,XLF,Financial Services,1.0,357151008
2023-02-03,31.860000610351562,32.61000061035156,31.860000610351562,32.349998474121094,32.349998474121094,35200,17.372444088441927,65.98686309227774,30.848281093268536,MPB,XLF,Financial Services,1.0,357151008
2023-02-06,32.150001525878906,32.220001220703125,31.829999923706055,31.93000030517578,31.93000030517578,17400,18.207366543871984,69.54106316480953,30.991301796206876,MPB,XLF,Financial Services,1.0,357151008
2023-02-07,32.02000045776367,32.02000045776367,31.360000610351562,32.0099983215332,32.0099983215332,26800,18.89985141805808,62.02438734377357,31.080701654203914,MPB,XLF,Financial Services,1.0,357151008
2023-02-08,31.979999542236328,32.040000915527344,31.670000076293945,31.760000228881836,31.760000228881836,14500,18.340645341517682,62.84811166990423,31.169206098711467,MPB,XLF,Financial Services,1.0,357151008
2023-02-09,31.760000228881836,31.799999237060547,31.239999771118164,31.280000686645508,31.280000686645508,21100,17.859460074917692,58.57236447758341,31.22547220634674,MPB,XLF,Financial Services,1.0,357151008
2023-02-10,31.3700008392334,31.540000915527344,31.149999618530273,31.459999084472656,31.459999084472656,23200,16.726493013160113,51.34898456861882,31.230665394946623,MPB,XLF,Financial Services,1.0,357151008
2023-02-13,31.280000686645508,31.709999084472656,31.280000686645508,31.56999969482422,31.56999969482422,13800,15.861614571398365,53.65702853336006,31.252506698711006,MPB,XLF,Financial Services,1.0,357151008
2023-02-14,31.510000228881836,31.510000228881836,30.8799991607666,31.149999618530273,31.149999618530273,19400,14.784228171124,55.06014892324909,31.282744126912263,MPB,XLF,Financial Services,1.0,357151008
2023-02-15,30.989999771118164,31.600000381469727,30.989999771118164,31.34000015258789,31.34000015258789,17200,14.504748695087146,48.96435777149437,31.270101792780643,MPB,XLF,Financial Services,1.0,357151008
2023-02-16,31.209999084472656,31.420000076293945,31.010000228881836,31.170000076293945,31.170000076293945,20000,14.029452768342864,51.576170106018196,31.276758779428953,MPB,XLF,Financial Services,1.0,357151008
2023-02-17,31.309999465942383,31.450000762939453,31.139999389648438,31.34000015258789,31.34000015258789,20100,13.588106550651744,49.1523964587118,31.266591283892286,MPB,XLF,Financial Services,1.0,357151008
2023-02-21,31.3799991607666,31.56999969482422,30.860000610351562,30.8799991607666,30.8799991607666,29000,13.09798444240438,51.6017813268033,31.27358260472044,MPB,XLF,Financial Services,1.0,357151008
2023-02-22,30.889999389648438,31.06999969482422,30.649999618530273,30.719999313354492,30.719999313354492,23900,13.274690665509748,45.24994970338235,31.236098467201025,MPB,XLF,Financial Services,0.0,357151008
2023-02-23,30.850000381469727,31.020000457763672,30.709999084472656,30.93000030517578,30.93000030517578,18200,13.86783518427859,43.255508715069624,31.186946166834687,MPB,XLF,Financial Services,0.0,357151008
2023-02-24,30.81999969482422,30.81999969482422,30.260000228881836,30.5,30.5,28700,14.418612237421087,46.58337592137427,31.16247513239098,MPB,XLF,Financial Services,0.0,357151008
2023-02-27,30.639999389648438,30.889999389648438,30.420000076293945,30.719999313354492,30.719999313354492,15100,15.771668605904255,41.2489544383492,31.09938226263946,MPB,XLF,Financial Services,0.0,357151008
2023-02-28,30.860000610351562,31.0,30.489999771118164,30.600000381469727,30.600000381469727,34000,16.79420183738666,44.735836165040695,31.06325055318375,MPB,XLF,Financial Services,0.0,357151008
2023-03-01,30.40999984741211,30.40999984741211,30.030000686645508,30.360000610351562,30.360000610351562,14100,17.373021409038575,43.22876022851427,31.019131489210984,MPB,XLF,Financial Services,0.0,357151008
2023-03-02,30.360000610351562,30.3799991607666,30.0,30.049999237060547,30.049999237060547,13900,18.727465236112174,40.3042788416711,30.9563571197958,MPB,XLF,Financial Services,0.0,357151008
2023-03-03,30.040000915527344,30.06999969482422,29.719999313354492,29.989999771118164,29.989999771118164,24300,20.03329012747459,36.83766367153733,30.870037321440062,MPB,XLF,Financial Services,0.0,357151008
2023-03-06,30.09000015258789,30.110000610351562,29.520000457763672,29.989999771118164,29.989999771118164,48000,21.67843493206838,36.188882700171135,30.786224221409405,MPB,XLF,Financial Services,0.0,357151008
2023-03-07,29.809999465942383,29.850000381469727,29.450000762939453,29.56999969482422,29.56999969482422,14300,23.48612488829884,36.188882700171135,30.71039332138167,MPB,XLF,Financial Services,0.0,357151008
2023-03-08,29.56999969482422,29.700000762939453,29.25,29.559999465942383,29.559999465942383,22600,25.260497618083257,31.661849708402723,30.601784404566676,MPB,XLF,Financial Services,0.0,357151008
2023-03-09,29.079999923706055,29.100000381469727,28.280000686645508,28.5,28.5,46600,27.174702049037823,31.56061505576216,30.502566791364362,MPB,XLF,Financial Services,0.0,357151008
2023-03-10,28.309999465942383,28.510000228881836,27.229999542236328,27.690000534057617,27.690000534057617,56600,29.890120215037765,23.121608175732646,30.311846144567756,MPB,XLF,Financial Services,0.0,357151008
2023-03-13,27.18000030517578,27.450000762939453,25.6200008392334,26.149999618530273,26.149999618530273,71600,33.01334626360754,18.95145340013969,30.06214656261441,MPB,XLF,Financial Services,0.0,357151008
2023-03-14,27.1200008392334,27.5,25.899999618530273,26.299999237060547,26.299999237060547,48300,36.451611202772106,13.84045766977665,29.6895611393683,MPB,XLF,Financial Services,0.0,357151008
2023-03-15,25.899999618530273,26.760000228881836,25.59000015258789,26.649999618530273,26.649999618530273,54900,39.521891003785036,16.210767233929037,29.366745720100894,MPB,XLF,Financial Services,0.0,357151008
2023-03-16,26.15999984741211,27.600000381469727,26.1200008392334,27.270000457763672,27.270000457763672,39400,42.46012773822859,21.628561978930037,29.108007996141787,MPB,XLF,Financial Services,0.0,357151008
2023-03-17,27.1299991607666,27.1299991607666,26.350000381469727,26.6299991607666,26.6299991607666,92000,43.28198121623467,30.234240238052674,28.932959659153394,MPB,XLF,Financial Services,0.0,357151008
2023-03-20,26.860000610351562,27.209999084472656,26.719999313354492,26.75,26.75,55500,44.04513087438317,26.945113779208125,28.71363008787846,MPB,XLF,Financial Services,0.0,357151008
