Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,Ticker,Corresponding ETF,Sector,SP,Market Cap
2023-01-03,11.5,11.539999961853027,11.4399995803833,11.520000457763672,11.520000457763672,1298700,,,,NEA,XLF,Financial Services,,3250042880
2023-01-04,11.460000038146973,11.479999542236328,11.3100004196167,11.369999885559082,11.369999885559082,1397100,23.135445724358313,65.8951689186748,11.200839308110432,NEA,XLF,Financial Services,0.0,3250042880
2023-01-05,11.329999923706055,11.34000015258789,11.130000114440918,11.15999984741211,11.15999984741211,1784800,22.4461994705792,57.997683844460056,11.216949839296017,NEA,XLF,Financial Services,0.0,3250042880
2023-01-06,11.199999809265137,11.260000228881836,11.130000114440918,11.25,11.25,1621500,21.014961877968688,49.12164348722218,11.21152603054517,NEA,XLF,Financial Services,1.0,3250042880
2023-01-09,11.300000190734863,11.369999885559082,11.229999542236328,11.300000190734863,11.300000190734863,3156500,19.68595554197321,52.4783161686037,11.215190218112296,NEA,XLF,Financial Services,1.0,3250042880
2023-01-10,11.3100004196167,11.329999923706055,11.149999618530273,11.15999984741211,11.15999984741211,2253700,18.768308204241865,54.28286254608228,11.223267358362063,NEA,XLF,Financial Services,1.0,3250042880
2023-01-11,11.229999542236328,11.289999961853027,11.15999984741211,11.239999771118164,11.239999771118164,1141800,17.44330879559441,48.70587470383526,11.217241881128734,NEA,XLF,Financial Services,1.0,3250042880
2023-01-12,11.279999732971191,11.399999618530273,11.210000038146973,11.380000114440918,11.380000114440918,1401400,16.21295220185035,51.75605112923958,11.219409299222965,NEA,XLF,Financial Services,1.0,3250042880
2023-01-13,11.380000114440918,11.470000267028809,11.300000190734863,11.34000015258789,11.34000015258789,1177200,15.721471268733023,56.61780597201547,11.234703662577056,NEA,XLF,Financial Services,1.0,3250042880
2023-01-17,11.34000015258789,11.40999984741211,11.319999694824219,11.359999656677246,11.359999656677246,1044800,15.662127843673558,54.915033503297515,11.244731899720945,NEA,XLF,Financial Services,1.0,3250042880
2023-01-18,11.479999542236328,11.529999732971191,11.4399995803833,11.470000267028809,11.470000267028809,788900,15.607023234689766,55.63349440847224,11.255709781335831,NEA,XLF,Financial Services,1.0,3250042880
2023-01-19,11.489999771118164,11.529999732971191,11.460000038146973,11.479999542236328,11.479999542236328,722000,16.216319092470467,59.46010734623719,11.276118399020877,NEA,XLF,Financial Services,1.0,3250042880
2023-01-20,11.479999542236328,11.600000381469727,11.479999542236328,11.600000381469727,11.600000381469727,878700,16.782093817552546,59.79953598888211,11.295535650755681,NEA,XLF,Financial Services,0.0,3250042880
2023-01-23,11.600000381469727,11.649999618530273,11.5600004196167,11.5600004196167,11.5600004196167,1008800,17.678469464931705,63.72485938471092,11.324532291776066,NEA,XLF,Financial Services,0.0,3250042880
2023-01-24,11.579999923706055,11.619999885559082,11.470000267028809,11.5600004196167,11.5600004196167,861400,18.763365446032882,61.56685979812595,11.346957827760889,NEA,XLF,Financial Services,0.0,3250042880
2023-01-25,11.529999732971191,11.579999923706055,11.520000457763672,11.539999961853027,11.539999961853027,600300,18.93170227250541,61.56685979812596,11.367247598413822,NEA,XLF,Financial Services,1.0,3250042880
2023-01-26,11.569999694824219,11.609999656677246,11.5,11.5,11.5,872100,19.08801503994419,60.38110938470591,11.383700204455652,NEA,XLF,Financial Services,1.0,3250042880
2023-01-27,11.5,11.529999732971191,11.470000267028809,11.489999771118164,11.489999771118164,559900,19.419368659649383,57.9761913024302,11.394776375459875,NEA,XLF,Financial Services,1.0,3250042880
2023-01-30,11.510000228881836,11.529999732971191,11.460000038146973,11.479999542236328,11.479999542236328,800500,19.4233238668099,57.36108300077459,11.403845270284474,NEA,XLF,Financial Services,1.0,3250042880
2023-01-31,11.510000228881836,11.630000114440918,11.510000228881836,11.600000381469727,11.600000381469727,755900,19.322992152919163,56.71309061088713,11.411098058089413,NEA,XLF,Financial Services,1.0,3250042880
2023-02-01,11.6899995803833,11.699999809265137,11.609999656677246,11.680000305175781,11.680000305175781,707300,19.9092035932543,62.227370529051605,11.429088755554204,NEA,XLF,Financial Services,1.0,3250042880
2023-02-02,11.729999542236328,11.789999961853027,11.640000343322754,11.65999984741211,11.65999984741211,722800,20.869856425339957,65.39250634238,11.452985093613401,NEA,XLF,Financial Services,1.0,3250042880
2023-02-03,11.609999656677246,11.649999618530273,11.5600004196167,11.59000015258789,11.59000015258789,742900,22.23885522958093,63.94976287588615,11.472700784451373,NEA,XLF,Financial Services,1.0,3250042880
2023-02-06,11.539999961853027,11.550000190734863,11.399999618530273,11.40999984741211,11.40999984741211,626300,22.634616883969347,59.04012672263838,11.483872152845327,NEA,XLF,Financial Services,1.0,3250042880
2023-02-07,11.420000076293945,11.5,11.40999984741211,11.5,11.5,795000,21.554445192530544,48.68869774315917,11.476836695185021,NEA,XLF,Financial Services,1.0,3250042880
2023-02-08,11.5,11.539999961853027,11.479999542236328,11.5,11.5,1082700,20.551428621908798,53.11500527854937,11.479042724215018,NEA,XLF,Financial Services,1.0,3250042880
2023-02-09,11.579999923706055,11.579999923706055,11.460000038146973,11.479999542236328,11.479999542236328,436600,19.910506056145312,53.11500527854937,11.481038655242159,NEA,XLF,Financial Services,1.0,3250042880
2023-02-10,11.460000038146973,11.5,11.4399995803833,11.449999809265137,11.449999809265137,478100,19.60088497931908,51.95979242570813,11.480939692098747,NEA,XLF,Financial Services,1.0,3250042880
2023-02-13,11.460000038146973,11.489999771118164,11.430000305175781,11.460000038146973,11.460000038146973,556800,19.11719401544132,50.196280278470894,11.477993036590785,NEA,XLF,Financial Services,1.0,3250042880
2023-02-14,11.390000343322754,11.420000076293945,11.34000015258789,11.350000381469727,11.350000381469727,547000,18.566236974415403,50.79578224802071,11.476279417691375,NEA,XLF,Financial Services,1.0,3250042880
2023-02-15,11.350000381469727,11.380000114440918,11.239999771118164,11.260000228881836,11.260000228881836,812300,17.293645218027866,44.456626644689514,11.464252842813123,NEA,XLF,Financial Services,1.0,3250042880
2023-02-16,11.199999809265137,11.25,11.100000381469727,11.119999885559082,11.119999885559082,1039300,16.9305476343797,40.05240690972223,11.444800212914904,NEA,XLF,Financial Services,1.0,3250042880
2023-02-17,11.079999923706055,11.109999656677246,11.029999732971191,11.079999923706055,11.079999923706055,447900,17.5231853874512,34.35144632179758,11.413866848404826,NEA,XLF,Financial Services,1.0,3250042880
2023-02-21,11.0,11.029999732971191,10.920000076293945,10.920000076293945,10.920000076293945,653100,18.468392645621346,32.91011450977101,11.382069998433515,NEA,XLF,Financial Services,1.0,3250042880
2023-02-22,10.920000076293945,10.970000267028809,10.90999984741211,10.9399995803833,10.9399995803833,561500,19.89613272519946,27.87235644412074,11.338063339182128,NEA,XLF,Financial Services,0.0,3250042880
2023-02-23,10.949999809265137,10.989999771118164,10.880000114440918,10.880000114440918,10.880000114440918,668600,21.269239118214188,29.32860635298479,11.30015250501081,NEA,XLF,Financial Services,0.0,3250042880
2023-02-24,10.829999923706055,10.850000381469727,10.779999732971191,10.789999961853027,10.789999961853027,863400,22.690495421002137,27.532652932347833,11.260137991623202,NEA,XLF,Financial Services,0.0,3250042880
2023-02-27,10.819999694824219,10.899999618530273,10.819999694824219,10.84000015258789,10.84000015258789,655900,24.46287339776827,25.054282824914576,11.2153629411689,NEA,XLF,Financial Services,0.0,3250042880
2023-02-28,10.819999694824219,10.84000015258789,10.710000038146973,10.760000228881836,10.760000228881836,1287800,25.531094678061688,28.884266262630977,11.179614104161185,NEA,XLF,Financial Services,0.0,3250042880
2023-03-01,10.760000228881836,10.829999923706055,10.739999771118164,10.760000228881836,10.760000228881836,799200,27.020428196825083,26.546703548875612,11.139650877944105,NEA,XLF,Financial Services,0.0,3250042880
2023-03-02,10.699999809265137,10.75,10.699999809265137,10.75,10.75,544600,28.40338074996252,26.546703548875612,11.103493673271508,NEA,XLF,Financial Services,0.0,3250042880
2023-03-03,10.800000190734863,10.829999923706055,10.770000457763672,10.770000457763672,10.770000457763672,679000,29.864629149857116,26.23885539635406,11.069827609150412,NEA,XLF,Financial Services,0.0,3250042880
2023-03-06,10.8100004196167,10.819999694824219,10.760000228881836,10.770000457763672,10.770000457763672,1161900,30.258519306855284,28.03629434908825,11.041272642351675,NEA,XLF,Financial Services,0.0,3250042880
2023-03-07,10.770000457763672,10.8100004196167,10.729999542236328,10.75,10.75,729200,30.679871729012692,28.03629434908825,11.015437196200438,NEA,XLF,Financial Services,0.0,3250042880
2023-03-08,10.75,10.789999961853027,10.739999771118164,10.75,10.75,518700,31.241938881271004,27.26572294905717,10.990157463228968,NEA,XLF,Financial Services,0.0,3250042880
2023-03-09,10.789999961853027,10.869999885559082,10.739999771118164,10.850000381469727,10.850000381469727,744600,31.76385837979658,27.265722949057164,10.967285323873828,NEA,XLF,Financial Services,0.0,3250042880
2023-03-10,10.899999618530273,10.9399995803833,10.75,10.869999885559082,10.869999885559082,967900,31.221109378618557,37.26429827702712,10.956115329359152,NEA,XLF,Financial Services,0.0,3250042880
2023-03-13,10.869999885559082,11.0,10.869999885559082,10.890000343322754,10.890000343322754,793200,29.926830995506013,39.06833065049303,10.94791385852105,NEA,XLF,Financial Services,0.0,3250042880
2023-03-14,10.859999656677246,10.9399995803833,10.850000381469727,10.859999656677246,10.859999656677246,440900,28.110998019143377,40.8986724385497,10.942398285645021,NEA,XLF,Financial Services,0.0,3250042880
2023-03-15,10.859999656677246,10.9399995803833,10.84000015258789,10.930000305175781,10.930000305175781,846400,26.60601932211245,39.00591263401677,10.9345507971719,NEA,XLF,Financial Services,0.0,3250042880
2023-03-16,10.949999809265137,11.0600004196167,10.920000076293945,10.949999809265137,10.949999809265137,902600,25.30215760552512,45.35999153474084,10.934117416981794,NEA,XLF,Financial Services,0.0,3250042880
2023-03-17,10.989999771118164,11.050000190734863,10.960000038146973,11.020000457763672,11.020000457763672,840300,24.09111226359598,47.0569668747139,10.935630025770683,NEA,XLF,Financial Services,0.0,3250042880
2023-03-20,11.0600004196167,11.079999923706055,10.989999771118164,10.989999771118164,10.989999771118164,663100,22.96657016037606,52.6052947766661,10.94366530500811,NEA,XLF,Financial Services,0.0,3250042880
2023-03-21,10.949999809265137,10.949999809265137,10.8100004196167,10.8100004196167,10.8100004196167,520200,22.202378996820727,50.178224209957314,10.948078111304307,NEA,XLF,Financial Services,0.0,3250042880
2023-03-22,10.8100004196167,10.880000114440918,10.800000190734863,10.84000015258789,10.84000015258789,780500,21.476679878239565,38.65481523211979,10.934927854953106,NEA,XLF,Financial Services,0.0,3250042880
2023-03-23,10.84000015258789,10.880000114440918,10.789999961853027,10.850000381469727,10.850000381469727,713000,20.883171920902356,41.08329919260928,10.925887121394513,NEA,XLF,Financial Services,0.0,3250042880
2023-03-24,10.850000381469727,10.9399995803833,10.84000015258789,10.869999885559082,10.869999885559082,655000,20.416326573076077,41.90884655611134,10.918659812830247,NEA,XLF,Financial Services,0.0,3250042880
2023-03-27,10.880000114440918,10.989999771118164,10.880000114440918,10.880000114440918,10.880000114440918,668000,19.32366769735,43.610593841944436,10.914025534042517,NEA,XLF,Financial Services,0.0,3250042880
2023-03-28,10.899999618530273,10.949999809265137,10.899999618530273,10.9399995803833,10.9399995803833,704100,18.084848227063585,44.486304434065275,10.910785017889983,NEA,XLF,Financial Services,0.0,3250042880
2023-03-29,10.960000038146973,11.020000457763672,10.930000305175781,10.930000305175781,10.930000305175781,677800,16.934515861797628,49.54871582677294,10.913567357175062,NEA,XLF,Financial Services,0.0,3250042880
2023-03-30,10.979999542236328,11.0600004196167,10.979999542236328,11.010000228881836,11.010000228881836,759900,16.55823016432609,48.75082208417878,10.915132399841797,NEA,XLF,Financial Services,0.0,3250042880
2023-03-31,11.0600004196167,11.119999885559082,11.0600004196167,11.119999885559082,11.119999885559082,1645300,16.570520125810678,54.995049086609804,10.924167431178944,NEA,XLF,Financial Services,0.0,3250042880
2023-04-03,11.15999984741211,11.180000305175781,10.979999542236328,11.039999961853027,11.039999961853027,671200,17.08603414499778,61.873694779000566,10.94281814111991,NEA,XLF,Financial Services,0.0,3250042880
2023-04-04,11.039999961853027,11.09000015258789,10.979999542236328,11.029999732971191,11.029999732971191,1229700,16.605404441096564,55.25874445139068,10.952073552618302,NEA,XLF,Financial Services,0.0,3250042880
2023-04-05,11.069999694824219,11.149999618530273,11.069999694824219,11.130000114440918,11.130000114440918,672600,16.15910543033115,54.47473604035715,10.959495093604291,NEA,XLF,Financial Services,0.0,3250042880
2023-04-06,11.149999618530273,11.180000305175781,11.09000015258789,11.119999885559082,11.119999885559082,1444000,16.29683794354454,60.508637659406716,10.975733667017304,NEA,XLF,Financial Services,0.0,3250042880
2023-04-10,11.140000343322754,11.140000343322754,11.039999961853027,11.079999923706055,11.079999923706055,658200,16.684360402694,59.65710580408323,10.989473306878425,NEA,XLF,Financial Services,0.0,3250042880
2023-04-11,11.09000015258789,11.229999542236328,11.09000015258789,11.210000038146973,11.210000038146973,805000,16.40282370364233,56.24737491934584,10.998094889433437,NEA,XLF,Financial Services,0.0,3250042880
2023-04-12,11.25,11.300000190734863,11.229999542236328,11.279999732971191,11.279999732971191,495800,16.921142459248973,63.54083320555305,11.01827633216806,NEA,XLF,Financial Services,0.0,3250042880
2023-04-13,11.25,11.369999885559082,11.239999771118164,11.369999885559082,11.369999885559082,632800,17.919658964797133,66.75448992811307,11.043202370339786,NEA,XLF,Financial Services,0.0,3250042880
2023-04-14,11.369999885559082,11.369999885559082,11.300000190734863,11.3100004196167,11.3100004196167,525200,19.304293145383095,70.37064261559227,11.074325943217815,NEA,XLF,Financial Services,0.0,3250042880
2023-04-17,11.300000190734863,11.300000190734863,11.210000038146973,11.210000038146973,11.210000038146973,463900,20.590024884498632,65.27336177411172,11.09677113144628,NEA,XLF,Financial Services,0.0,3250042880
2023-04-18,11.199999809265137,11.210000038146973,10.800000190734863,11.029999732971191,11.029999732971191,1850700,20.593109753353165,57.76338435364637,11.107554836846345,NEA,XLF,Financial Services,0.0,3250042880
2023-04-19,11.0,11.010000228881836,10.9399995803833,10.989999771118164,10.989999771118164,871600,20.865026808309786,47.22982285289824,11.100168636477283,NEA,XLF,Financial Services,0.0,3250042880
2023-04-20,10.989999771118164,11.069999694824219,10.989999771118164,11.010000228881836,11.010000228881836,556400,21.117521216483794,45.25486035696906,11.089676363585939,NEA,XLF,Financial Services,0.0,3250042880
2023-04-21,11.029999732971191,11.079999923706055,10.960000038146973,10.979999542236328,10.979999542236328,425400,20.822546793164744,46.460403268846385,11.082088160280787,NEA,XLF,Financial Services,0.0,3250042880
2023-04-24,11.0,11.029999732971191,11.0,11.020000457763672,11.020000457763672,327600,20.732962129723838,44.86446694133644,11.072365434752744,NEA,XLF,Financial Services,0.0,3250042880
2023-04-25,11.039999961853027,11.039999961853027,11.010000228881836,11.020000457763672,11.020000457763672,334400,20.649776370814426,47.456127290692315,11.067378294087117,NEA,XLF,Financial Services,0.0,3250042880
2023-04-26,11.0600004196167,11.079999923706055,11.050000190734863,11.0600004196167,11.0600004196167,401300,20.4711129637714,47.456127290692315,11.06286611919917,NEA,XLF,Financial Services,0.0,3250042880
2023-04-27,11.079999923706055,11.109999656677246,11.079999923706055,11.09000015258789,11.09000015258789,371500,19.89453282146928,50.172412563590015,11.062593195429411,NEA,XLF,Financial Services,0.0,3250042880
2023-04-28,11.109999656677246,11.140000343322754,11.079999923706055,11.109999656677246,11.109999656677246,498100,19.055513235749725,52.16951605235602,11.065203381825457,NEA,XLF,Financial Services,0.0,3250042880
2023-05-01,11.100000381469727,11.100000381469727,11.020000457763672,11.050000190734863,11.050000190734863,823900,17.9741127047563,53.50734796570708,11.069469693716103,NEA,XLF,Financial Services,0.0,3250042880
2023-05-02,11.0600004196167,11.069999694824219,11.010000228881836,11.050000190734863,11.050000190734863,649100,17.50346464316169,49.07278970223298,11.067615455336938,NEA,XLF,Financial Services,0.0,3250042880
2023-05-03,11.0600004196167,11.09000015258789,11.050000190734863,11.069999694824219,11.069999694824219,697400,17.153536114323508,49.072789702232974,11.065937811089121,NEA,XLF,Financial Services,0.0,3250042880
