Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,Ticker,Corresponding ETF,Sector,SP,Market Cap
2023-01-03,30.200000762939453,30.6200008392334,28.3700008392334,29.010000228881836,29.010000228881836,1577700,,,,NOG,XLE,Energy,,4136181248
2023-01-04,28.459999084472656,29.610000610351562,28.3700008392334,28.84000015258789,28.84000015258789,1933200,24.011547851696378,36.86730263104084,31.700166314251202,NOG,XLE,Energy,0.0,4136181248
2023-01-05,28.559999465942383,29.049999237060547,28.219999313354492,28.520000457763672,28.520000457763672,1220500,25.643560478207117,36.34030235513873,31.427769536949935,NOG,XLE,Energy,0.0,4136181248
2023-01-06,29.290000915527344,30.329999923706055,29.059999465942383,29.549999237060547,29.549999237060547,1388900,27.224237198228035,35.316921129570794,31.150839148456004,NOG,XLE,Energy,0.0,4136181248
2023-01-09,30.350000381469727,30.8700008392334,30.1299991607666,30.739999771118164,30.739999771118164,1262600,27.252300194063682,41.06947927226541,30.99837820451358,NOG,XLE,Energy,0.0,4136181248
2023-01-10,31.0,31.0,30.079999923706055,30.6299991607666,30.6299991607666,1027300,26.746439979431482,46.94068260515532,30.973770734666395,NOG,XLE,Energy,0.0,4136181248
2023-01-11,31.299999237060547,31.3700008392334,30.059999465942383,30.799999237060547,30.799999237060547,898100,26.148791283189034,46.47970184677028,30.941030584771177,NOG,XLE,Energy,1.0,4136181248
2023-01-12,31.15999984741211,31.979999542236328,30.799999237060547,31.389999389648438,31.389999389648438,1271000,25.22445439146623,47.340397634378604,30.927599027846355,NOG,XLE,Energy,1.0,4136181248
2023-01-13,31.43000030517578,32.13999938964844,30.75,32.040000915527344,32.040000915527344,714500,23.784116774905666,50.326103831457495,30.971637157541792,NOG,XLE,Energy,1.0,4136181248
2023-01-17,32.33000183105469,32.70000076293945,31.790000915527344,32.2400016784668,32.2400016784668,760900,22.297128316559455,53.45701443852301,31.07338608687375,NOG,XLE,Energy,1.0,4136181248
2023-01-18,32.56999969482422,32.90999984741211,31.15999984741211,31.170000076293945,31.170000076293945,1110300,21.006401156207808,54.409200050678955,31.184492333692134,NOG,XLE,Energy,1.0,4136181248
2023-01-19,31.079999923706055,31.8700008392334,30.610000610351562,31.790000915527344,31.790000915527344,1063900,19.784961029984007,48.672188669472256,31.183112118701832,NOG,XLE,Energy,1.0,4136181248
2023-01-20,32.099998474121094,32.470001220703125,31.350000381469727,32.459999084472656,32.459999084472656,923800,19.119910612686983,51.840910877080084,31.240911051732834,NOG,XLE,Energy,1.0,4136181248
2023-01-23,32.779998779296875,32.95000076293945,32.380001068115234,32.689998626708984,32.689998626708984,623800,17.915817938399748,55.06898621050431,31.35701467389853,NOG,XLE,Energy,1.0,4136181248
2023-01-24,32.959999084472656,33.099998474121094,31.979999542236328,32.0,32.0,928300,16.914118258789035,56.15545926925116,31.483965526547145,NOG,XLE,Energy,1.0,4136181248
2023-01-25,31.780000686645508,32.459999084472656,31.309999465942383,32.11000061035156,32.11000061035156,1135500,15.80824189792631,52.08632171635057,31.53311166687599,NOG,XLE,Energy,1.0,4136181248
2023-01-26,32.52000045776367,33.529998779296875,32.11000061035156,33.31999969482422,33.31999969482422,1950500,15.377095185397868,52.67507303358268,31.58805347101652,NOG,XLE,Energy,1.0,4136181248
2023-01-27,35.5,35.880001068115234,34.43000030517578,34.619998931884766,34.619998931884766,4988800,14.576810852334374,58.68845084222157,31.753000730426777,NOG,XLE,Energy,1.0,4136181248
2023-01-30,34.02000045776367,34.400001525878906,33.16999816894531,33.4900016784668,33.4900016784668,2257300,15.415167304085795,63.98352963218961,32.02604817818468,NOG,XLE,Energy,1.0,4136181248
2023-01-31,33.4900016784668,34.08000183105469,33.130001068115234,33.52000045776367,33.52000045776367,1524900,15.131635649840884,57.12901573548245,32.16547232106869,NOG,XLE,Energy,0.0,4136181248
2023-02-01,33.33000183105469,33.61000061035156,31.6200008392334,32.93000030517578,32.93000030517578,17165800,14.836452836588391,57.2599202648134,32.29447500075393,NOG,XLE,Energy,0.0,4136181248
2023-02-02,32.790000915527344,32.88999938964844,30.860000610351562,31.600000381469727,31.600000381469727,2502600,14.101940189288161,53.781685795637976,32.355001220222675,NOG,XLE,Energy,0.0,4136181248
2023-02-03,31.520000457763672,33.0,31.520000457763672,31.959999084472656,31.959999084472656,2316500,13.901109888762948,46.86995481684338,32.28309637843668,NOG,XLE,Energy,0.0,4136181248
2023-02-06,31.850000381469727,32.2400016784668,30.829999923706055,31.209999084472656,31.209999084472656,2411700,13.628117567273831,48.78842285902314,32.25232520758296,NOG,XLE,Energy,0.0,4136181248
2023-02-07,31.649999618530273,33.41999816894531,31.239999771118164,33.41999816894531,33.41999816894531,2316900,13.814455944613579,45.13209689531562,32.15305605300103,NOG,XLE,Energy,0.0,4136181248
2023-02-08,33.45000076293945,33.63999938964844,32.75,33.290000915527344,33.290000915527344,1282400,13.057656233801348,55.67366983041189,32.273717206900486,NOG,XLE,Energy,0.0,4136181248
2023-02-09,33.4900016784668,33.4900016784668,32.0099983215332,32.150001525878906,32.150001525878906,1319100,12.192773255796718,55.00423249447465,32.37050613153161,NOG,XLE,Energy,0.0,4136181248
2023-02-10,32.560001373291016,34.150001525878906,32.41999816894531,34.11000061035156,34.11000061035156,1744700,11.911694138999335,49.395060837466744,32.34950569289802,NOG,XLE,Energy,0.0,4136181248
2023-02-13,33.970001220703125,34.52000045776367,33.5,34.02000045776367,34.02000045776367,1114000,11.13894788962145,57.432484446307384,32.517171875512645,NOG,XLE,Energy,0.0,4136181248
2023-02-14,33.900001525878906,34.529998779296875,33.59000015258789,34.33000183105469,34.33000183105469,999900,10.542643360875875,56.98491961654288,32.6602984071556,NOG,XLE,Energy,0.0,4136181248
2023-02-15,33.63999938964844,34.099998474121094,32.7400016784668,34.040000915527344,34.040000915527344,1521700,9.996686538585765,58.19342338698673,32.819317780860274,NOG,XLE,Energy,1.0,4136181248
2023-02-16,33.83000183105469,34.52000045776367,33.47999954223633,33.4900016784668,33.4900016784668,1234900,9.757347298741676,56.591653628672574,32.93557331749523,NOG,XLE,Energy,0.0,4136181248
2023-02-17,33.0,33.0,31.68000030517578,31.940000534057617,31.940000534057617,1452600,9.176775423171586,53.579532025595086,32.988376018540144,NOG,XLE,Energy,0.0,4136181248
2023-02-21,31.559999465942383,32.15999984741211,31.030000686645508,31.200000762939453,31.200000762939453,1084200,9.891044618936402,46.12809181406786,32.888530734303714,NOG,XLE,Energy,0.0,4136181248
2023-02-22,31.010000228881836,31.309999465942383,30.1200008392334,30.56999969482422,30.56999969482422,1387600,10.928792518941451,43.0498866176928,32.72771835607855,NOG,XLE,Energy,0.0,4136181248
2023-02-23,31.420000076293945,32.11000061035156,30.799999237060547,31.799999237060547,31.799999237060547,1394400,12.37337683375855,40.56784855349355,32.52222134072099,NOG,XLE,Energy,0.0,4136181248
2023-02-24,31.219999313354492,33.06999969482422,30.979999542236328,32.119998931884766,32.119998931884766,1816700,12.986083185612936,46.993456952998905,32.45343828322952,NOG,XLE,Energy,0.0,4136181248
2023-02-27,32.130001068115234,32.380001068115234,31.110000610351562,31.809999465942383,31.809999465942383,1098500,12.765904164672147,48.55190175959951,32.42168215453002,NOG,XLE,Energy,0.0,4136181248
2023-02-28,32.189998626708984,32.470001220703125,31.020000457763672,31.040000915527344,31.040000915527344,1502700,12.561452216655699,47.10698341908756,32.36342666037881,NOG,XLE,Energy,0.0,4136181248
2023-03-01,31.149999618530273,32.41999816894531,30.93000030517578,32.15999984741211,32.15999984741211,1143900,12.371603979211853,43.633459077653356,32.2373861132501,NOG,XLE,Energy,0.0,4136181248
2023-03-02,31.989999771118164,32.88999938964844,31.690000534057617,32.56999969482422,32.56999969482422,1128000,12.26341628436499,49.46989398200484,32.230015992694106,NOG,XLE,Energy,0.0,4136181248
2023-03-03,31.920000076293945,34.02000045776367,31.799999237060547,33.75,33.75,1195300,11.71818507602537,51.45165578951456,32.26239539289698,NOG,XLE,Energy,0.0,4136181248
2023-03-06,33.5,34.060001373291016,33.18000030517578,33.189998626708984,33.189998626708984,1500800,11.499354820188026,56.71348745748601,32.40407202214488,NOG,XLE,Energy,0.0,4136181248
2023-03-07,32.97999954223633,33.31999969482422,31.979999542236328,32.20000076293945,32.20000076293945,1472200,11.327584521398338,53.736847102833195,32.47892217496051,NOG,XLE,Energy,0.0,4136181248
2023-03-08,31.959999084472656,32.54999923706055,31.270000457763672,31.760000228881836,31.760000228881836,1341200,10.918233382476703,48.85505412005951,32.4523582309585,NOG,XLE,Energy,0.0,4136181248
2023-03-09,31.979999542236328,32.45000076293945,30.850000381469727,30.889999389648438,30.889999389648438,1250400,11.07099422607298,46.81925327820556,32.38641937361787,NOG,XLE,Energy,0.0,4136181248
2023-03-10,31.020000457763672,31.639999389648438,30.329999923706055,30.459999084472656,30.459999084472656,1093700,11.510500740696878,43.00349628862978,32.2439031846684,NOG,XLE,Energy,0.0,4136181248
2023-03-13,29.520000457763672,30.3799991607666,28.8700008392334,29.1200008392334,29.1200008392334,1838500,12.273771042560051,41.215563286182075,32.07400755607833,NOG,XLE,Energy,0.0,4136181248
2023-03-14,29.350000381469727,30.43000030517578,28.75,29.15999984741211,29.15999984741211,1311400,13.836743244627334,36.168914326034454,31.792673583045477,NOG,XLE,Energy,0.0,4136181248
2023-03-15,27.670000076293945,27.920000076293945,25.559999465942383,26.68000030517578,26.68000030517578,2500500,15.351204856327465,36.419177917274524,31.541942751080395,NOG,XLE,Energy,0.0,4136181248
2023-03-16,25.989999771118164,27.229999542236328,25.75,26.940000534057617,26.940000534057617,1960400,18.04555947546935,28.86311311448,31.078900613375193,NOG,XLE,Energy,0.0,4136181248
2023-03-17,26.65999984741211,26.829999923706055,25.600000381469727,26.3799991607666,26.3799991607666,4250500,20.547460193243957,30.491326603818326,30.684719653440187,NOG,XLE,Energy,0.0,4136181248
2023-03-20,26.40999984741211,27.690000534057617,26.40999984741211,26.770000457763672,26.770000457763672,1435200,22.920641245443544,28.95413792636608,30.27474627318556,NOG,XLE,Energy,0.0,4136181248
2023-03-21,27.729999542236328,28.709999084472656,27.600000381469727,28.469999313354492,28.469999313354492,1463700,24.198229694518353,31.542548855221952,29.940960957431095,NOG,XLE,Energy,0.0,4136181248
2023-03-22,28.520000457763672,29.200000762939453,27.90999984741211,27.969999313354492,27.969999313354492,1580600,24.406736409909684,41.540613705111255,29.800869372280943,NOG,XLE,Energy,0.0,4136181248
2023-03-23,28.229999542236328,28.75,27.309999465942383,27.68000030517578,27.68000030517578,963100,24.16552682900205,39.703928357188175,29.62650079524033,NOG,XLE,Energy,0.0,4136181248
2023-03-24,27.040000915527344,28.469999313354492,26.90999984741211,28.350000381469727,28.350000381469727,1317200,24.276600643852056,38.63690153671449,29.441119796186562,NOG,XLE,Energy,0.0,4136181248
2023-03-27,28.770000457763672,29.510000228881836,28.34000015258789,29.25,29.25,1280600,24.596748977947804,42.482839860135556,29.337203661451625,NOG,XLE,Energy,0.0,4136181248
2023-03-28,29.31999969482422,29.84000015258789,29.219999313354492,29.56999969482422,29.56999969482422,923500,23.94898140371529,47.26421285045705,29.328898550837184,NOG,XLE,Energy,0.0,4136181248
2023-03-29,29.709999084472656,29.950000762939453,29.329999923706055,29.8799991607666,29.8799991607666,974200,23.067557956804205,48.8910499588949,29.351860564550236,NOG,XLE,Energy,0.0,4136181248
2023-03-30,30.1200008392334,30.1299991607666,29.18000030517578,29.790000915527344,29.790000915527344,2045600,22.153183480394937,50.48463301857268,29.402159478475603,NOG,XLE,Energy,0.0,4136181248
2023-03-31,30.110000610351562,30.600000381469727,29.84000015258789,30.350000381469727,30.350000381469727,1976400,21.140607910098492,49.99723749775327,29.439096758194818,NOG,XLE,Energy,0.0,4136181248
2023-04-03,32.220001220703125,33.15999984741211,31.649999618530273,33.11000061035156,33.11000061035156,2455500,19.774940415483876,53.03553281365356,29.525849484221,NOG,XLE,Energy,0.0,4136181248
2023-04-04,33.400001525878906,33.400001525878906,31.709999084472656,32.43000030517578,32.43000030517578,1253200,19.99946894885873,64.48836390808425,29.867197210519148,NOG,XLE,Energy,0.0,4136181248
2023-04-05,32.41999816894531,32.709999084472656,31.81999969482422,32.5099983215332,32.5099983215332,914400,20.340574648217565,60.56931408560769,30.11127369572454,NOG,XLE,Energy,0.0,4136181248
2023-04-06,32.41999816894531,33.029998779296875,31.889999389648438,32.56999969482422,32.56999969482422,1553100,20.657315654765053,60.870585254239515,30.339723660087273,NOG,XLE,Energy,0.0,4136181248
2023-04-10,32.790000915527344,33.58000183105469,32.790000915527344,33.34000015258789,33.34000015258789,1211200,21.144374358962416,61.110590780369925,30.55213090149079,NOG,XLE,Energy,0.0,4136181248
2023-04-11,33.84000015258789,34.209999084472656,33.61000061035156,33.959999084472656,33.959999084472656,1827100,21.91949179986823,64.1495635759625,30.817642258738132,NOG,XLE,Energy,0.0,4136181248
2023-04-12,34.31999969482422,34.45000076293945,33.779998779296875,33.81999969482422,33.81999969482422,1214200,22.986015656423884,66.42466352945638,31.116914337379516,NOG,XLE,Energy,0.0,4136181248
2023-04-13,34.16999816894531,34.9900016784668,33.68000030517578,34.5099983215332,34.5099983215332,1572800,24.1047105915496,65.41516804555907,31.374351038088534,NOG,XLE,Energy,0.0,4136181248
2023-04-14,34.68000030517578,35.08000183105469,34.20000076293945,35.060001373291016,35.060001373291016,885500,25.426163312389054,67.9966947312834,31.672984112702313,NOG,XLE,Energy,0.0,4136181248
2023-04-17,35.15999984741211,35.25,34.09000015258789,34.20000076293945,34.20000076293945,1082300,26.700145574670916,69.92384182916769,31.995557185139333,NOG,XLE,Energy,0.0,4136181248
2023-04-18,34.119998931884766,34.189998626708984,33.70000076293945,34.130001068115234,34.130001068115234,908900,27.975331240956326,63.48632250435404,32.205504192548865,NOG,XLE,Energy,1.0,4136181248
2023-04-19,33.380001068115234,33.81999969482422,32.869998931884766,33.79999923706055,33.79999923706055,1131000,28.609957720369465,62.97808723411369,32.38878960926947,NOG,XLE,Energy,1.0,4136181248
2023-04-20,33.15999984741211,33.310001373291016,32.369998931884766,33.060001373291016,33.060001373291016,1166700,28.136538148586407,60.51841596538593,32.52319052620196,NOG,XLE,Energy,1.0,4136181248
2023-04-21,32.90999984741211,33.04999923706055,32.5099983215332,32.77000045776367,32.77000045776367,723900,27.122930136955745,55.302493629442736,32.57431536878187,NOG,XLE,Energy,1.0,4136181248
2023-04-24,32.810001373291016,33.84000015258789,32.349998474121094,33.7400016784668,33.7400016784668,705600,26.181722697584416,53.36149538732007,32.59295204392299,NOG,XLE,Energy,1.0,4136181248
2023-04-25,32.959999084472656,33.349998474121094,32.18000030517578,32.310001373291016,32.310001373291016,979400,25.969839345377697,58.596050675543566,32.7021948662605,NOG,XLE,Energy,1.0,4136181248
2023-04-26,32.18000030517578,32.689998626708984,31.6200008392334,31.84000015258789,31.84000015258789,849400,25.558748268047186,49.73395033036888,32.66484310502531,NOG,XLE,Energy,0.0,4136181248
2023-04-27,32.47999954223633,32.70000076293945,31.780000686645508,32.310001373291016,32.310001373291016,787200,24.49414853005103,47.20685887096441,32.58628663336461,NOG,XLE,Energy,0.0,4136181248
2023-04-28,32.34000015258789,33.47999954223633,32.060001373291016,33.16999816894531,33.16999816894531,742000,23.515338874336816,49.945862869020175,32.55997375145284,NOG,XLE,Energy,0.0,4136181248
2023-05-01,32.66999816894531,33.63999938964844,32.439998626708984,33.33000183105469,33.33000183105469,1147100,23.330865350473495,54.58848837046793,32.61807131502355,NOG,XLE,Energy,0.0,4136181248
2023-05-02,32.9900016784668,33.02000045776367,31.440000534057617,32.119998931884766,32.119998931884766,1189600,23.297930391026792,55.417022712426466,32.685874221312226,NOG,XLE,Energy,0.0,4136181248
2023-05-03,31.389999389648438,31.979999542236328,30.899999618530273,31.0,31.0,2064100,22.0250048257174,48.24792690119091,32.631981336604845,NOG,XLE,Energy,0.0,4136181248
2023-05-04,30.93000030517578,31.75,30.84000015258789,30.93000030517578,30.93000030517578,1788000,20.633609420256096,42.736815005461025,32.47655454264248,NOG,XLE,Energy,0.0,4136181248
2023-05-05,32.25,32.95000076293945,31.479999542236328,31.829999923706055,31.829999923706055,2288400,19.40438005968346,42.41075331222234,32.32926366288375,NOG,XLE,Energy,0.0,4136181248
2023-05-08,32.47999954223633,33.09000015258789,31.860000610351562,32.0,32.0,1427400,18.975377698535404,47.91320369263607,32.281714735343016,NOG,XLE,Energy,0.0,4136181248
2023-05-09,31.579999923706055,32.02000045776367,31.18000030517578,31.229999542236328,31.229999542236328,1746700,18.700902414771317,48.90626006964523,32.25488476054844,NOG,XLE,Energy,0.0,4136181248
2023-05-10,31.329999923706055,31.610000610351562,30.530000686645508,31.170000076293945,31.170000076293945,1391000,17.66622267214028,44.74506607879323,32.15727664451872,NOG,XLE,Energy,0.0,4136181248
2023-05-11,30.6299991607666,31.420000076293945,30.479999542236328,31.40999984741211,31.40999984741211,954800,16.76525566509903,44.42785384450628,32.063250304687784,NOG,XLE,Energy,0.0,4136181248
2023-05-12,31.75,31.950000762939453,30.90999984741211,31.510000228881836,31.510000228881836,626400,15.978242775153914,46.074672185465474,32.001035975423434,NOG,XLE,Energy,0.0,4136181248
2023-05-15,31.780000686645508,32.75,31.43000030517578,31.959999084472656,31.959999084472656,743800,15.00843065832523,46.7823245129379,31.954270666228997,NOG,XLE,Energy,0.0,4136181248
2023-05-16,30.989999771118164,31.200000762939453,30.010000228881836,30.219999313354492,30.219999313354492,7156800,14.883863822077178,49.964332596037885,31.95481622987125,NOG,XLE,Energy,0.0,4136181248
2023-05-17,30.610000610351562,30.829999923706055,29.8700008392334,30.299999237060547,30.299999237060547,4094900,14.292648402218461,40.00404736119427,31.789595571155367,NOG,XLE,Energy,0.0,4136181248
2023-05-18,30.100000381469727,30.979999542236328,29.56999969482422,30.959999084472656,30.959999084472656,2023600,13.865653562005031,40.590446118330824,31.647729253622526,NOG,XLE,Energy,0.0,4136181248
2023-05-19,31.450000762939453,31.75,30.8700008392334,31.18000030517578,31.18000030517578,1488900,13.73433913059157,45.33725222245052,31.582231142274917,NOG,XLE,Energy,0.0,4136181248
2023-05-22,31.09000015258789,32.58000183105469,31.09000015258789,31.899999618530273,31.899999618530273,1977800,12.80694470626312,46.8613801132602,31.54392344350357,NOG,XLE,Energy,0.0,4136181248
2023-05-23,32.02000045776367,32.650001525878906,31.40999984741211,31.59000015258789,31.59000015258789,1973500,12.591450620897305,51.61607569637599,31.57783546017278,NOG,XLE,Energy,0.0,4136181248
2023-05-24,31.81999969482422,32.20000076293945,31.200000762939453,31.979999542236328,31.979999542236328,1442900,12.452001346410352,49.55991730831512,31.57899400230755,NOG,XLE,Energy,0.0,4136181248
2023-05-25,31.200000762939453,31.770000457763672,30.700000762939453,31.020000457763672,31.020000457763672,1645600,12.089275600232073,52.14281044936373,31.61718500611029,NOG,XLE,Energy,0.0,4136181248
2023-05-26,31.18000030517578,31.209999084472656,30.559999465942383,30.989999771118164,30.989999771118164,1431400,11.23861753608985,45.91068740400689,31.560310287220137,NOG,XLE,Energy,0.0,4136181248
2023-05-30,30.31999969482422,30.440000534057617,29.649999618530273,30.40999984741211,30.40999984741211,1304100,10.59683344372541,45.72675551514942,31.50599499997233,NOG,XLE,Energy,0.0,4136181248
2023-05-31,29.920000076293945,30.40999984741211,29.729999542236328,29.90999984741211,29.90999984741211,1811400,10.88724705504666,42.20627694707844,31.40161450925231,NOG,XLE,Energy,0.0,4136181248
2023-06-01,30.0,30.399999618530273,29.56999969482422,29.93000030517578,29.93000030517578,1457800,11.156916836987818,39.39079459218571,31.25955597002943,NOG,XLE,Energy,0.0,4136181248
2023-06-02,30.739999771118164,31.6299991607666,30.540000915527344,31.389999389648438,31.389999389648438,1024300,11.561138157825146,39.56446377476141,31.132931620995752,NOG,XLE,Energy,0.0,4136181248
2023-06-05,32.0099983215332,32.150001525878906,30.959999084472656,31.06999969482422,31.06999969482422,934000,10.976098385874158,50.67528344619808,31.157414265629342,NOG,XLE,Energy,0.0,4136181248
2023-06-06,30.549999237060547,32.0099983215332,30.469999313354492,31.969999313354492,31.969999313354492,2360000,10.936273388008088,48.567708642719865,31.149089068409808,NOG,XLE,Energy,0.0,4136181248
2023-06-07,32.290000915527344,33.310001373291016,32.220001220703125,33.08000183105469,33.08000183105469,2136800,10.355751539974266,54.32175863605667,31.227270996499776,NOG,XLE,Energy,0.0,4136181248
2023-06-08,32.93000030517578,33.369998931884766,32.529998779296875,33.08000183105469,33.08000183105469,1143100,10.958761430730801,60.23120164218755,31.40372155217167,NOG,XLE,Energy,0.0,4136181248
2023-06-09,32.95000076293945,33.41999816894531,32.689998626708984,33.0,33.0,770500,11.565739434640532,60.23120164218755,31.563367293017674,NOG,XLE,Energy,0.0,4136181248
2023-06-12,32.43000030517578,32.86000061035156,32.0,32.41999816894531,32.41999816894531,1113700,12.170933581340025,59.58683533471844,31.70018945558742,NOG,XLE,Energy,0.0,4136181248
2023-06-13,32.83000183105469,33.77000045776367,32.7599983215332,32.91999816894531,32.91999816894531,1073700,11.901410705793692,54.99341579941005,31.76874266638341,NOG,XLE,Energy,0.0,4136181248
2023-06-14,33.33000183105469,33.5,32.11000061035156,32.72999954223633,32.72999954223633,951000,12.44323903817894,57.99927027840533,31.87838604757978,NOG,XLE,Energy,0.0,4136181248
2023-06-15,32.689998626708984,33.7599983215332,32.5099983215332,33.25,33.25,1853400,12.21928920055646,56.45625887693419,31.959492094689928,NOG,XLE,Energy,0.0,4136181248
2023-06-16,33.47999954223633,33.66999816894531,32.84000015258789,33.29999923706055,33.29999923706055,2898400,12.240644213922138,59.62236475126617,32.08239760948136,NOG,XLE,Energy,0.0,4136181248
