Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,Ticker,Corresponding ETF,Sector,SP,Market Cap
2023-01-03,273.0,275.8999938964844,250.97999572753906,253.27999877929688,253.27999877929688,912600,,,,RH,XLY,Consumer Cyclical,,4987957248
2023-01-04,260.6499938964844,277.239990234375,257.6700134277344,276.7799987792969,276.7799987792969,1139700,9.712161571799546,43.491998384332334,262.7809867349618,RH,XLY,Consumer Cyclical,0.0,4987957248
2023-01-05,273.5400085449219,284.1199951171875,272.0,281.3900146484375,281.3900146484375,677900,9.206998597793453,56.66840573491728,264.11422597727943,RH,XLY,Consumer Cyclical,0.0,4987957248
2023-01-06,281.0,292.44000244140625,279.6600036621094,292.07000732421875,292.07000732421875,945000,9.135074248017007,58.70276334404164,265.7595391840564,RH,XLY,Consumer Cyclical,0.0,4987957248
2023-01-09,296.5,302.1199951171875,294.07000732421875,299.5899963378906,299.5899963378906,979300,9.861113263096783,63.03280742350705,268.26529805454805,RH,XLY,Consumer Cyclical,0.0,4987957248
2023-01-10,300.6600036621094,309.6600036621094,296.7300109863281,309.6600036621094,309.6600036621094,935100,11.293668727901874,65.75546795386119,271.2486026529616,RH,XLY,Consumer Cyclical,0.0,4987957248
2023-01-11,314.1499938964844,317.6700134277344,312.2099914550781,316.4800109863281,316.4800109863281,1146800,13.121452056394293,69.04343224677325,274.90683132049946,RH,XLY,Consumer Cyclical,0.0,4987957248
2023-01-12,319.75,323.95001220703125,312.2200012207031,319.4100036621094,319.4100036621094,1065400,15.27898760235502,71.06940220916,278.8661817648641,RH,XLY,Consumer Cyclical,0.0,4987957248
2023-01-13,313.82000732421875,319.0,308.8800048828125,310.3800048828125,310.3800048828125,858900,17.60368725083104,71.91965680365604,282.7274981360303,RH,XLY,Consumer Cyclical,0.0,4987957248
2023-01-17,306.8900146484375,311.5199890136719,305.8999938964844,309.25,309.25,777800,19.303232987688293,65.52785403361293,285.3610702071524,RH,XLY,Consumer Cyclical,0.0,4987957248
2023-01-18,310.8900146484375,313.54998779296875,298.6099853515625,300.42999267578125,300.42999267578125,766600,20.476353417244603,64.75230668901665,287.6362063778998,RH,XLY,Consumer Cyclical,0.0,4987957248
2023-01-19,295.75,297.19000244140625,290.0,292.70001220703125,292.70001220703125,606600,20.639301101405334,58.8933297555153,288.85466221579327,RH,XLY,Consumer Cyclical,0.0,4987957248
2023-01-20,293.3599853515625,299.7699890136719,287.2099914550781,299.1700134277344,299.1700134277344,576200,19.840406991391923,54.259535469236894,289.2208860244826,RH,XLY,Consumer Cyclical,0.0,4987957248
2023-01-23,301.0199890136719,311.989990234375,300.5,311.2200012207031,311.2200012207031,692500,18.81369168221595,57.28870792571189,290.1684219676494,RH,XLY,Consumer Cyclical,0.0,4987957248
