Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,Ticker,Corresponding ETF,Sector,SP,Market Cap
2023-01-03,8.789999961853027,9.005000114440918,8.489999771118164,8.649999618530273,8.649999618530273,1577200,,,,SG,XLY,Consumer Cyclical,,3484313344
2023-01-04,8.84000015258789,9.3100004196167,8.680000305175781,9.029999732971191,9.029999732971191,1474600,46.794312262258465,26.4280612823938,9.981198389320344,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-01-05,8.869999885559082,8.960000038146973,8.420000076293945,8.5,8.5,1811600,45.90148783683418,32.40262430194852,9.890608041096614,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-01-06,8.569999694824219,8.75,7.809999942779541,8.489999771118164,8.489999771118164,2643100,45.34561064080038,28.879989772254522,9.758169180039793,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-01-09,8.670000076293945,8.819999694824219,8.390000343322754,8.430000305175781,8.430000305175781,1495200,45.39613261713708,28.816332930436623,9.637391141094877,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-01-10,8.350000381469727,8.789999961853027,8.350000381469727,8.779999732971191,8.779999732971191,2131900,45.28033128971997,28.411694325403108,9.52240153767401,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-01-11,8.890000343322754,9.28499984741211,8.779999732971191,9.170000076293945,9.170000076293945,1445700,45.21098236357012,34.214811724770925,9.45169660389279,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-01-12,9.329999923706055,9.9399995803833,9.149999618530273,9.720000267028809,9.720000267028809,2585400,43.98745533638076,40.04676741564148,9.424868363169091,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-01-13,9.579999923706055,9.979999542236328,9.420000076293945,9.869999885559082,9.869999885559082,1244200,41.58776436228707,47.16093009920066,9.452976163536684,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-01-17,9.270000457763672,10.109999656677246,9.149999618530273,9.829999923706055,9.829999923706055,1557300,39.28850224349329,48.94043938574721,9.492692708491198,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-01-18,9.9399995803833,10.180000305175781,9.739999771118164,9.739999771118164,9.739999771118164,1014400,37.55092567290613,48.47164012790448,9.524817205178326,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-01-19,9.630000114440918,9.704999923706055,9.239999771118164,9.460000038146973,9.460000038146973,1169300,35.79902788414883,47.372102580558604,9.545310782886883,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-01-20,9.630000114440918,9.680000305175781,9.220000267028809,9.220000267028809,9.220000267028809,1614400,34.885417196824015,44.02606170553487,9.53718595005451,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-01-23,9.270000457763672,9.75,9.170000076293945,9.729999542236328,9.729999542236328,1247500,34.064123854991905,41.331269866403666,9.50697778976635,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-01-24,9.760000228881836,9.760000228881836,9.5,9.59000015258789,9.59000015258789,648800,33.14101205133782,48.53956053582958,9.528217956668252,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-01-25,9.350000381469727,9.710000038146973,9.131999969482422,9.520000457763672,9.520000457763672,717600,32.259663854661454,46.838310713515,9.534101975327266,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-01-26,9.779999732971191,9.869999885559082,9.489999771118164,9.6899995803833,9.6899995803833,1017100,32.00513402651368,45.97073303553401,9.532758973654543,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-01-27,9.720000267028809,10.609999656677246,9.550000190734863,10.5,10.5,1442200,31.358888832557984,48.46720153317211,9.547734269533473,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-01-30,10.369999885559082,10.609999656677246,9.970000267028809,9.979999542236328,9.979999542236328,1140000,29.162717368647964,58.34366238534076,9.638426243863618,SG,XLY,Consumer Cyclical,1.0,3484313344
2023-01-31,9.979999542236328,10.510000228881836,9.91100025177002,10.369999885559082,10.369999885559082,752900,27.12341529501723,51.517514583436395,9.670957034184829,SG,XLY,Consumer Cyclical,1.0,3484313344
2023-02-01,10.399999618530273,10.649999618530273,9.890000343322754,10.470000267028809,10.470000267028809,1183000,25.3471011807196,55.70349690475038,9.737532543839519,SG,XLY,Consumer Cyclical,1.0,3484313344
2023-02-02,10.789999961853027,11.8149995803833,10.789999961853027,11.739999771118164,11.739999771118164,2221500,23.671480757515294,56.735000087285414,9.807291374619451,SG,XLY,Consumer Cyclical,1.0,3484313344
2023-02-03,11.359999656677246,11.680000305175781,11.020000457763672,11.289999961853027,11.289999961853027,1187800,23.982424264578334,67.18579991016142,9.991358840952662,SG,XLY,Consumer Cyclical,1.0,3484313344
2023-02-06,11.109999656677246,11.3100004196167,10.75,11.020000457763672,11.020000457763672,981000,24.27115752113687,61.51568155966445,10.115038947705077,SG,XLY,Consumer Cyclical,1.0,3484313344
2023-02-07,10.40999984741211,10.890000343322754,10.024999618530273,10.880000114440918,10.880000114440918,1266800,23.92823615272818,58.33459047042749,10.201225758186848,SG,XLY,Consumer Cyclical,1.0,3484313344
2023-02-08,10.819999694824219,10.880000114440918,10.229999542236328,10.369999885559082,10.369999885559082,792700,22.227941446449478,56.69738161332533,10.26587093497295,SG,XLY,Consumer Cyclical,1.0,3484313344
2023-02-09,10.520000457763672,10.595000267028809,9.5600004196167,9.720000267028809,9.720000267028809,1121000,20.64909636204783,51.073927665833864,10.275787977885916,SG,XLY,Consumer Cyclical,1.0,3484313344
2023-02-10,9.609999656677246,9.630000114440918,9.34000015258789,9.5,9.5,867600,20.22295769569413,44.95412891241907,10.222855814947144,SG,XLY,Consumer Cyclical,1.0,3484313344
2023-02-13,9.520000457763672,9.6899995803833,9.350000381469727,9.449999809265137,9.449999809265137,1122000,20.13011519753533,43.07292016530265,10.154012403999797,SG,XLY,Consumer Cyclical,1.0,3484313344
2023-02-14,9.359999656677246,9.675000190734863,8.579999923706055,9.550000190734863,9.550000190734863,2086000,19.921700175171015,42.63622410339353,10.086963585453638,SG,XLY,Consumer Cyclical,1.0,3484313344
2023-02-15,9.489999771118164,10.25,9.489999771118164,10.199999809265137,10.199999809265137,1265700,20.708918807795754,43.862098052617355,10.035824214528041,SG,XLY,Consumer Cyclical,1.0,3484313344
2023-02-16,9.829999923706055,9.890000343322754,9.5600004196167,9.770000457763672,9.770000457763672,1776500,20.339231070519453,51.167047240148655,10.051459985455384,SG,XLY,Consumer Cyclical,1.0,3484313344
2023-02-17,9.760000228881836,9.770000457763672,9.024999618530273,9.319999694824219,9.319999694824219,1805300,19.995949600191462,46.82606446450433,10.024654316151413,SG,XLY,Consumer Cyclical,1.0,3484313344
2023-02-21,9.15999984741211,9.460000038146973,8.96500015258789,9.359999656677246,9.359999656677246,2660100,20.35701868150758,42.7395092488848,9.95754435221549,SG,XLY,Consumer Cyclical,1.0,3484313344
2023-02-22,9.399999618530273,9.975000381469727,9.380000114440918,9.75,9.75,1620300,20.764173893918752,43.213907098375195,9.900635333592799,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-02-23,9.800000190734863,9.954999923706055,9.020000457763672,9.289999961853027,9.289999961853027,2408300,20.14815315884323,47.758484537792775,9.886289111345866,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-02-24,8.149999618530273,9.850000381469727,8.069999694824219,9.59000015258789,9.59000015258789,4328300,20.057701211200477,43.351576602603416,9.829499668537023,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-02-27,9.630000114440918,9.779999732971191,8.350000381469727,8.720000267028809,8.720000267028809,2554100,21.01104025480537,46.79942463875964,9.806690190827583,SG,XLY,Consumer Cyclical,0.0,3484313344
2023-02-28,8.6850004196167,9.039999961853027,8.609999656677246,8.720000267028809,8.720000267028809,1430400,21.89628365243848,39.32451406342189,9.703195912370557,SG,XLY,Consumer Cyclical,0.0,3484313344
