Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,EMA_50,Upper_BBand,Middle_BBand,Lower_BBand,MACD,MACD_Signal,MACD_Hist,ATR,CCI,Williams_%R,MFI,OBV,Ticker,Corresponding ETF,Sector,SP,Market Cap
2024-04-16,14.460000038146973,14.460000038146973,13.420000076293945,13.569999694824219,13.569999694824219,84100,12.010145506652652,43.0355356652709,14.721013603830396,15.347000007629395,17.065095752198403,14.922500085830688,12.779904419462973,-0.3876513777574697,-0.33837375580678597,-0.04927762195068375,1.2329675604006884,-62.220525887899775,-87.11886904237926,32.14001701086663,2827700.0,ANRO,XLV,Healthcare,0.0,321532640
2024-04-17,13.550000190734863,13.800000190734863,13.239999771118164,13.479999542236328,13.479999542236328,155400,11.722131445231,39.80636982837336,14.611393231544094,15.277313720852721,17.092273896204432,14.893000078201293,12.693726260198154,-0.4322910989322146,-0.3571572244318717,-0.07513387450034292,1.2191841605044271,-94.32642295804023,-96.93252275556915,19.499231753309555,2743600.0,ANRO,XLV,Healthcare,0.0,321532640
2024-04-18,13.5,13.625,13.109999656677246,13.5,13.5,79700,11.680652627938285,39.31341861528026,14.50364145161002,15.206830811887372,17.122388411718845,14.845500040054322,12.568611668389801,-0.4695183445156541,-0.37962944844862817,-0.08988889606702594,1.1720996075838752,-172.84538485161917,-93.00292274738253,20.04246227620805,2588200.0,ANRO,XLV,Healthcare,0.0,321532640
2024-04-19,13.489999771118164,13.8100004196167,12.779999732971191,12.960000038146973,12.960000038146973,235700,11.807424058634751,39.49274335217168,14.408056551456685,15.13989627024473,17.117633211098173,14.769000053405762,12.42036689571335,-0.49173887539884653,-0.40205133383867186,-0.08968754156017467,1.125163945850938,-181.23654212718293,-82.58927602093144,21.96888032767514,2667900.0,ANRO,XLV,Healthcare,0.0,321532640
2024-04-22,12.970000267028809,13.699999809265137,12.880000114440918,13.640000343322754,13.640000343322754,82900,12.335976214985795,36.36805915850694,14.27014640733195,15.054410143495799,17.128018011349557,14.659500074386596,12.190982137423635,-0.5466211814477564,-0.43096530336048877,-0.11565587808726763,1.1183665701934073,-175.99291161328617,-92.77107418549917,22.91300106785917,2432200.0,ANRO,XLV,Healthcare,0.0,321532640
2024-04-23,14.199999809265137,14.300000190734863,13.699999809265137,13.880000114440918,13.880000114440918,85400,12.82677464588319,42.534006466547694,14.210132496473932,14.99894309250862,16.972750188399434,14.543000078201294,12.113249968003151,-0.5291457993757831,-0.45060140256354764,-0.07854439681223546,1.0970546505241796,-103.64708369737536,-64.53606009445504,29.706554090106437,2515100.0,ANRO,XLV,Healthcare,0.0,321532640
2024-04-24,13.739999771118164,14.350000381469727,13.739999771118164,14.199999809265137,14.199999809265137,36800,12.235918776096991,44.5753404998126,14.178691317232692,14.95506297572165,16.64659309912373,14.404500102996826,12.16240710686992,-0.4902788282686483,-0.4585368877045678,-0.03174194056408053,1.065836450301889,-2.6076207631784647,-54.639163094812524,36.90359050068665,2600500.0,ANRO,XLV,Healthcare,0.0,321532640
2024-04-25,14.0600004196167,14.437999725341797,13.760000228881836,14.130000114440918,14.130000114440918,44900,11.605784908497311,47.265166314261755,14.180720697426258,14.925452655468455,15.759920992967421,14.217000055313111,12.6740791176588,-0.42871323333242195,-0.4525721568301386,0.023858923497716678,1.033276747448294,24.69820363125651,-41.44330042862249,31.824155824348598,2637300.0,ANRO,XLV,Healthcare,0.0,321532640
2024-04-26,13.9399995803833,14.180000305175781,13.9399995803833,14.180000305175781,14.180000305175781,22700,10.87100247748394,46.73090153001232,14.17589016571337,14.894258438173257,15.083549244822656,14.08450002670288,13.085450808583104,-0.3811764809514724,-0.43829302165440537,0.05711654070293298,1.0078998009491273,32.58455769084148,-44.329885555158356,29.959842019632532,2592400.0,ANRO,XLV,Healthcare,0.0,321532640
2024-04-29,14.359999656677246,16.290000915527344,14.229999542236328,15.5600004196167,15.5600004196167,66200,10.188704505828666,47.190090009419194,14.176281607566931,14.86624831531061,14.842049144874728,14.026000022888184,13.209950900901639,-0.335600075911179,-0.4177544325057601,0.08215435659458109,0.9530498669379383,36.53573188300906,-42.26802218187295,31.637092036448493,2615100.0,ANRO,XLV,Healthcare,0.0,321532640
2024-04-30,15.5,15.942000389099121,15.229999542236328,15.510000228881836,15.510000228881836,71400,11.97476261340725,57.961153233893384,14.308064351571671,14.89345428018536,15.110183917650794,14.076000022888184,13.041816128125575,-0.18598208475997957,-0.371399962956604,0.18541787819662442,1.035689205753197,249.84693970558078,-20.797727919254516,31.379122383372053,2681300.0,ANRO,XLV,Healthcare,0.0,321532640
2024-05-01,15.380000114440918,16.53499984741211,14.90999984741211,16.100000381469727,16.100000381469727,130000,13.63324514187308,57.50352288099,14.422534435125021,14.91763255268326,15.354708633127167,14.146000051498413,12.93729146986966,-0.07062917716726069,-0.31124580579873534,0.24061662863147465,1.0125686086895966,226.83773001155805,-22.22223429786635,39.25586281413133,2609900.0,ANRO,XLV,Healthcare,0.0,321532640
