Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,EMA_50,Upper_BBand,Middle_BBand,Lower_BBand,MACD,MACD_Signal,MACD_Hist,ATR,CCI,Williams_%R,MFI,OBV,Ticker,Corresponding ETF,Sector,SP,Market Cap
2024-02-23,37.790000915527344,38.34000015258789,37.599998474121094,37.689998626708984,37.689998626708984,205200,19.65380330586654,38.92492257342614,39.8123758224994,40.68200012207031,42.98919110905034,40.20800018310547,37.4268092571606,-0.6813097409799624,-0.48573423765917784,-0.1955755033207846,1.151678406317266,-174.00307648351426,-90.25787996935128,55.08704627556976,438500.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-02-26,37.83000183105469,39.56999969482422,37.66999816894531,39.560001373291016,39.560001373291016,79500,20.357457805586538,37.242939066671475,39.61024466099555,40.56466673009536,42.80992968065528,39.98200016021728,37.154070639779285,-0.7631256276735527,-0.5412125156620529,-0.22191311201149988,1.1222729257565183,-163.4314808758815,-97.31343011650192,45.94774197833038,233300.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-02-27,39.5,39.66999816894531,38.88999938964844,39.52000045776367,39.52000045776367,62300,19.536591942090663,48.93649741135181,39.60545958597607,40.525268088652055,42.43444148381366,39.83800029754639,37.241559111279116,-0.6693557969776691,-0.5668411719251761,-0.10251462505249298,1.1778249686224032,-36.74268840482823,-41.492490745095274,52.21067613954046,312800.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-02-28,39.119998931884766,39.119998931884766,37.86000061035156,37.939998626708984,37.939998626708984,71000,18.667347455739243,48.72734196278454,39.59732062138441,40.485845828617215,41.86045269397659,39.67000026702881,37.47954784008103,-0.5914523753408858,-0.5717634126083181,-0.019688962732567705,1.1494088122420083,14.122976486310135,-42.68654710920161,51.92863294652735,250500.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-02-29,37.970001220703125,38.66999816894531,37.77000045776367,38.18000030517578,38.18000030517578,41900,18.736461432049886,41.23124651731408,39.439480431415326,40.386008683444345,41.36162694743599,39.445500183105466,37.529373418774945,-0.6497167651359064,-0.5873540831138357,-0.062362682022070626,1.1858796004684442,-88.80537107278028,-89.85074864806083,50.85255002686569,179500.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-03-01,38.16999816894531,38.290000915527344,37.77000045776367,38.290000915527344,38.290000915527344,47000,18.87129525500967,42.67388096848666,39.319529943202035,40.29949855096322,41.26717295515771,39.332500267028806,37.3978275788999,-0.668815890879543,-0.6036464446669771,-0.06516944621256582,1.1654594655193868,-83.87395009601758,-82.68652433490514,50.8841009800358,221400.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-03-04,38.25,38.38999938964844,37.529998779296875,37.75,37.75,36800,18.996498090615184,43.360154703301625,39.22147955961397,40.2206947221226,40.95575478316734,39.18450031280518,37.41324584244301,-0.667382782406996,-0.616393712214981,-0.05098907019201504,1.1193552506796929,-80.66654070386552,-79.40292626935388,45.8982276055321,268400.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-03-05,37.7400016784668,38.400001525878906,37.06999969482422,38.369998931884766,38.369998931884766,109600,19.32067416307792,40.779271314459784,39.08133864917454,40.12380473301975,40.77459108554042,39.03800029754639,37.30140950955236,-0.7017314709403024,-0.6334612639600452,-0.06827020698025721,1.1008299192276836,-90.10317120659633,-92.439820197971,36.274817621608086,231600.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-03-06,38.560001373291016,39.7599983215332,38.560001373291016,39.4900016784668,39.4900016784668,75100,20.006022786665227,44.83894608942387,39.01359200943266,40.05502803493603,40.758659178665255,38.99900016784668,37.23934115702811,-0.6711872925076037,-0.6410064696695569,-0.030180822838046795,1.117199341501041,-73.38155002511014,-61.42434275688372,45.243310496350865,341200.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-03-07,39.59000015258789,40.33000183105469,39.5,39.93000030517578,39.93000030517578,80500,18.956978678709195,51.32968952380893,39.05896435886448,40.032870138603904,40.69030420042096,38.97400016784668,37.257696135272404,-0.5502628618998529,-0.6228577481156161,0.07259488621576327,1.136685059225855,67.04581299214061,-28.189829357330844,47.108784293192855,416300.0,FC,XLP,Consumer Defensive,1.0,490841984
