Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,EMA_50,Upper_BBand,Middle_BBand,Lower_BBand,MACD,MACD_Signal,MACD_Hist,ATR,CCI,Williams_%R,MFI,OBV,Ticker,Corresponding ETF,Sector,SP,Market Cap
2024-02-23,23.360000610351562,23.729999542236328,23.200000762939453,23.420000076293945,23.420000076293945,761100,19.12125578340609,46.73244305476621,23.65873661766207,24.246199951171874,24.827413655733423,23.643499851226807,22.45958604672019,-0.2581838590241503,-0.3042328503999536,0.046048991375803316,0.5864362388657193,-2.248020540437213,-47.48603054313589,43.095665711741624,287700.0,HOMB,XLF,Financial Services,1.0,4711549952
2024-02-26,23.200000762939453,23.59000015258789,23.200000762939453,23.43000030517578,23.43000030517578,768600,18.286812315103813,46.9780084335742,23.635999804198438,24.21379995607862,24.681922078037367,23.583499813079833,22.485077548122298,-0.24797569646854356,-0.29298141961367163,0.045005723145128074,0.582404991753659,21.260615412802718,-46.36868710547739,49.15382010211791,1048800.0,HOMB,XLF,Financial Services,1.0,4711549952
2024-02-27,23.59000015258789,23.690000534057617,23.350000381469727,23.56999969482422,23.56999969482422,810000,17.511971951680266,47.10930046180429,23.616380804291516,24.183062714866743,24.509592299044783,23.522999858856203,22.536407418667622,-0.23635417539345127,-0.28165597076962756,0.04530179537617629,0.5686617344604289,1.4726792547785683,-45.81001538664814,49.76127117847724,1817400.0,HOMB,XLF,Financial Services,1.0,4711549952
2024-02-28,23.329999923706055,23.510000228881836,23.200000762939453,23.219999313354492,23.219999313354492,632900,16.59542532015811,49.012764482901446,23.61196355577082,24.15902102780625,24.241023651080862,23.459499835968018,22.677976020855173,-0.21338745770860612,-0.2680022681574233,0.054614810448817164,0.5523287643266761,30.703680605558805,-37.988824434508714,48.1153494944457,2627400.0,HOMB,XLF,Financial Services,1.0,4711549952
2024-02-29,23.6200008392334,23.850000381469727,23.280000686645508,23.459999084472656,23.459999084472656,844300,16.01550547341241,44.683268387332475,23.574633627921646,24.122196646847357,24.00286911410796,23.393499755859374,22.784130397610788,-0.22088208302765366,-0.2585782311314694,0.03769614810381572,0.5393052048665397,-45.421570267043876,-57.541908370592324,49.7465961577333,1994500.0,HOMB,XLF,Financial Services,1.0,4711549952
2024-03-01,23.31999969482422,23.40999984741211,22.920000076293945,23.34000015258789,23.34000015258789,763700,14.952601629303334,48.07067861107572,23.563716052355076,24.096228114989525,24.004236497930822,23.394499683380126,22.78476286882943,-0.20509148484907413,-0.24788088187499033,0.04278939702591619,0.545783480812875,21.07326099605182,-44.134106785895426,49.19084122564168,2838800.0,HOMB,XLF,Financial Services,1.0,4711549952
2024-03-04,23.450000762939453,23.670000076293945,23.1200008392334,23.1299991607666,23.1299991607666,1080500,14.46637394421009,46.53622532395069,23.542409776186773,24.06657211646397,24.005593887392656,23.400499725341795,22.795405563290934,-0.19995527303787242,-0.23829576010756676,0.03834048706969434,0.545370304196149,-69.05024793038578,-50.83795430037635,42.36109345130317,2075100.0,HOMB,XLF,Financial Services,1.0,4711549952
2024-03-05,22.979999542236328,24.100000381469727,22.979999542236328,24.059999465942383,24.059999465942383,1182500,13.50029385000691,43.89550666623952,23.503132574718187,24.02984376526015,24.007606067957155,23.396499729156496,22.785393390355836,-0.21040469876654555,-0.23271754783936252,0.02231284907281697,0.5457009422578917,-33.24488030678297,-60.81873171428157,42.79074771340439,994600.0,HOMB,XLF,Financial Services,1.0,4711549952
2024-03-06,23.989999771118164,24.290000915527344,23.549999237060547,23.93000030517578,23.93000030517578,1262000,13.233475466551539,55.845169049835796,23.55616751673954,24.031026341757492,24.090680730284586,23.452499675750733,22.81431862121688,-0.14200573789872806,-0.21457518585123564,0.07256944795250758,0.5867223634704278,104.82798755086233,-8.396996579874989,53.33318566327585,2177100.0,HOMB,XLF,Financial Services,1.0,4711549952
2024-03-07,24.190000534057617,24.31999969482422,23.790000915527344,23.889999389648438,23.889999389648438,807200,13.295384048939368,54.11024823404772,23.591770639447752,24.027064536401348,24.13894123556631,23.496499729156493,22.854058222746676,-0.0971688128594721,-0.19109391125288294,0.09392509839341084,0.5976708859701684,153.8874017029768,-26.27740071699558,54.424446062667684,915100.0,HOMB,XLF,Financial Services,1.0,4711549952
2024-03-08,24.229999542236328,24.25,23.889999389648438,23.959999084472656,23.959999084472656,635500,13.40258856142336,53.558882690274956,23.620173377562104,24.021689432607115,24.181091115735327,23.52999973297119,22.878908350207055,-0.06412378721141465,-0.16569988644458927,0.10157609923317462,0.5928371640649333,170.73164369760283,-30.71431588154272,53.173338896118125,107900.0,HOMB,XLF,Financial Services,1.0,4711549952
2024-03-11,23.8799991607666,24.110000610351562,23.84000015258789,23.989999771118164,23.989999771118164,676800,13.502135608729928,54.433892506414495,23.652537730601203,24.01927020326851,24.232095190842426,23.5584997177124,22.884904244582376,-0.03191903320247036,-0.1389437157961655,0.10702468259369513,0.5762059816568355,152.73794992203833,-25.714336317426497,59.280600078483445,743400.0,HOMB,XLF,Financial Services,1.0,4711549952
2024-03-12,23.829999923706055,24.049999237060547,23.68000030517578,23.780000686645508,23.780000686645508,686400,13.468119368762263,54.82672873995047,23.6846769725552,24.01812234318418,24.2702254688711,23.572999668121337,22.875773867371574,-0.003930421489240388,-0.11194105693478047,0.10801063544554008,0.5543341585216095,106.59456629768557,-23.571429544565895,59.68786651395125,1420200.0,HOMB,XLF,Financial Services,1.0,4711549952
2024-03-13,23.719999313354492,23.969999313354492,23.639999389648438,23.719999313354492,23.719999313354492,735400,13.029123455300862,51.481023543135095,23.69375542151618,24.008784239006193,24.238567398920004,23.561999702453612,22.88543200598722,0.0012907054106463534,-0.08929470446569511,0.09058540987634146,0.5411673566189777,57.71932499781632,-38.571368236914566,61.46188950221535,733800.0,HOMB,XLF,Financial Services,1.0,4711549952
2024-03-14,23.610000610351562,23.700000762939453,23.059999465942383,23.190000534057617,23.190000534057617,949500,12.518726158996794,50.53218592525901,23.696254839786494,23.99745933996103,24.18484349889776,23.60899963378906,23.033155768680363,0.000580188668987347,-0.07131972583875862,0.07189991450774597,0.5260839685537689,35.17444650377596,-42.85718178263577,63.486887583249704,-1600.0,HOMB,XLF,Financial Services,1.0,4711549952
2024-03-15,23.100000381469727,23.549999237060547,23.100000381469727,23.290000915527344,23.290000915527344,2626100,12.51333651903427,42.994234940911994,23.648040144002792,23.96579428874913,24.192983337017697,23.603499698638917,23.014016060260136,-0.04226220072971287,-0.06550822081694947,0.0232460200872366,0.5356493884722219,-81.83484474756759,-80.71424776193012,56.131424416693186,-951100.0,HOMB,XLF,Financial Services,1.0,4711549952
2024-03-18,23.360000610351562,23.420000076293945,22.969999313354492,22.989999771118164,22.989999771118164,1042400,12.508331853354786,44.67128969287689,23.613941169862272,23.939292587838473,24.130278350345023,23.564999771118163,22.999721191891304,-0.06736931640085686,-0.06588043993373095,-0.0014888764671259075,0.5295314932664075,-78.95049825099865,-73.57136142495331,48.61649564845288,1675000.0,HOMB,XLF,Financial Services,1.0,4711549952
2024-03-19,22.969999313354492,23.260000228881836,22.920000076293945,23.06999969482422,23.06999969482422,718600,12.772959167714236,40.79398009110346,23.554518179505692,23.902065418555324,24.146496185714703,23.530999755859376,22.91550332600405,-0.11020410724820451,-0.07474517339662566,-0.03545893385157885,0.5238507268144822,-106.63452196592127,-95.00002043588378,42.05591916341106,632600.0,HOMB,XLF,Financial Services,1.0,4711549952
