Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,EMA_50,Upper_BBand,Middle_BBand,Lower_BBand,MACD,MACD_Signal,MACD_Hist,ATR,CCI,Williams_%R,MFI,OBV,Ticker,Corresponding ETF,Sector,SP,Market Cap
2024-02-23,7.940000057220459,8.289999961853027,7.920000076293945,8.149999618530273,8.149999618530273,1501900,22.91693846203355,41.431413129489684,8.526190505333258,8.47839997291565,9.209134693303787,8.671499919891357,8.133865146478927,-0.05398631432358947,0.0341954097240516,-0.08818172404764107,0.37867351942705024,-194.46248585474763,-97.16600347029438,38.18907851454782,4384100.0,LC,XLF,Financial Services,1.0,991190400
2024-02-26,8.109999656677246,8.335000038146973,8.015000343322754,8.119999885559082,8.119999885559082,947300,21.75336157345421,45.192082783142844,8.490362801828212,8.465521527645635,9.216397897394671,8.63799991607666,8.05960193475865,-0.07658143501628878,0.01204004077598352,-0.0886214757922723,0.3780539741507668,-131.1907157385141,-78.50470954815432,33.864964141746476,5886000.0,LC,XLF,Financial Services,1.0,991190400
2024-02-27,8.229999542236328,8.364999771118164,8.180000305175781,8.300000190734863,8.300000190734863,744700,20.539148063007225,44.70399692425576,8.455090143135914,8.451971659328516,9.205956490035671,8.5989999294281,7.992043368820529,-0.09580458308928286,-0.009528883997069755,-0.08627569909221311,0.3739072399131563,-98.20230437678028,-80.5825377557908,40.224337153764424,4938700.0,LC,XLF,Financial Services,1.0,991190400
2024-02-28,8.180000305175781,8.319999694824219,8.010000228881836,8.029999732971191,8.029999732971191,1199800,19.31850088121248,48.31120202492761,8.44031967147867,8.446011993893471,9.154945136561677,8.563999938964844,7.973054741368012,-0.09541466526248676,-0.02670604025015316,-0.0687086250123336,0.3646995717450081,-51.84055272414476,-63.10677544112078,45.369018517019875,5683400.0,LC,XLF,Financial Services,1.0,991190400
2024-02-29,8.1899995803833,8.34000015258789,8.045000076293945,8.109999656677246,8.109999656677246,908100,18.672049712129112,43.70556433468284,8.401241582097006,8.429697787582793,9.156999166840484,8.528499937057495,7.900000707274506,-0.1155603255301898,-0.04447689730616049,-0.07108342822402931,0.3607924213305349,-84.97778319538526,-89.3204189131258,45.03909313927962,4483600.0,LC,XLF,Financial Services,1.0,991190400
2024-03-01,8.149999618530273,8.329999923706055,7.989999771118164,8.210000038146973,8.210000038146973,1255000,18.00192778634623,45.36745747583302,8.373504255866553,8.417160605978653,9.094100716690727,8.482999897003173,7.87189907731562,-0.12364527540975523,-0.060310572926879434,-0.06333470248287579,0.3571644212081181,-62.152571049417546,-81.55343401544212,50.531231397800234,5391700.0,LC,XLF,Financial Services,1.0,991190400
2024-03-04,8.239999771118164,8.3100004196167,8.020000457763672,8.039999961853027,8.039999961853027,824600,17.54547587738741,47.45560320194592,8.357932425607546,8.409036662142116,9.074625205627445,8.459499883651734,7.844374561676023,-0.12059333647553672,-0.0723671256366109,-0.04822621083892582,0.35593840202095894,-51.528737914492545,-71.84465659845579,51.43713063163429,6646700.0,LC,XLF,Financial Services,1.0,991190400
2024-03-05,7.929999828338623,8.170000076293945,7.9029998779296875,7.989999771118164,7.989999771118164,929600,17.121627676211368,44.352076463101795,8.327653143345211,8.3945646346798,8.989309447608044,8.409499883651733,7.829690319695422,-0.13038919283855321,-0.08397153907699936,-0.04641765376155385,0.3512285134375353,-59.756683356059,-88.23529961750162,44.30187045786659,5822100.0,LC,XLF,Financial Services,1.0,991190400
2024-03-06,8.069999694824219,8.149999618530273,7.929999828338623,7.980000019073486,7.980000019073486,904300,17.102976855937335,43.45198865519353,8.295495679323588,8.378699345912676,8.960169186870791,8.372499895095824,7.784830603320858,-0.14056671155379874,-0.09529057357235923,-0.04527613798143951,0.3452122052180155,-82.60169254296673,-91.61042255049556,47.60026835581419,4892500.0,LC,XLF,Financial Services,1.0,991190400
2024-03-07,8.069999694824219,8.149999618530273,7.949999809265137,8.0,8.0,886900,17.08565823711145,43.262889886251536,8.265448473585483,8.363064078193492,8.93109496381064,8.33749988079071,7.743904797770782,-0.14773635217410686,-0.10577972929270876,-0.04195662288139809,0.3362684612875609,-78.26674336073148,-92.5747190706409,40.33719661545615,3988200.0,LC,XLF,Financial Services,1.0,991190400
2024-03-08,8.109999656677246,8.260000228881836,8.0649995803833,8.069999694824219,8.069999694824219,836400,17.06957666248741,43.78977917412858,8.240167666577342,8.348826271205512,8.919699253883698,8.312999892234803,7.706300530585908,-0.15007454674945286,-0.11463869278405758,-0.03543585396539528,0.326534986143102,-77.4517762546412,-90.64608004796882,38.93233283941011,4875100.0,LC,XLF,Financial Services,1.0,991190400
2024-03-11,8.039999961853027,8.130000114440918,7.980000019073486,7.989999771118164,7.989999771118164,830600,16.51051714686133,45.69075744205773,8.223961193077045,8.337891895661148,8.888534657206522,8.28699986934662,7.685465081486717,-0.14461219309174211,-0.12063339284559449,-0.023978800246147625,0.321782503481583,-8.588145807834435,-76.37908498495298,45.710379251917004,5711500.0,LC,XLF,Financial Services,1.0,991190400
2024-03-12,7.949999809265137,8.0,7.739999771118164,7.820000171661377,7.820000171661377,1144900,16.324953484033657,43.86493936154209,8.201679152890485,8.324249067247697,8.848177797365409,8.25499985218048,7.661821906995552,-0.14506632937530917,-0.12551998015153742,-0.019546349223771742,0.3095123314734293,-86.63726353535878,-81.1688499345639,47.467931625150456,4880900.0,LC,XLF,Financial Services,1.0,991190400
2024-03-13,7.789999961853027,8.039999961853027,7.789999961853027,7.989999771118164,7.989999771118164,1368100,16.984570866185745,40.18969000036155,8.165328773725808,8.304474600754116,8.75298603058161,8.202499866485596,7.6520137023895805,-0.15733017822223339,-0.13188201976567662,-0.025448158456556763,0.305975752716887,-200.15214836621806,-87.19993591308594,49.24321213715043,3736000.0,LC,XLF,Financial Services,1.0,991190400
2024-03-14,7.929999828338623,8.020000457763672,7.664999961853027,7.769999980926514,7.769999980926514,1014500,17.384450855244655,45.13976338330843,8.14863077347746,8.292142254493882,8.720460994694784,8.177999877929688,7.635538761164591,-0.15158444869295984,-0.13582250555113326,-0.01576194314182658,0.30197748466568075,-111.44276771005023,-60.0,59.42256994112752,5104100.0,LC,XLF,Financial Services,1.0,991190400
2024-03-15,7.690000057220459,7.980000019073486,7.690000057220459,7.760000228881836,7.760000228881836,1204900,18.164362753324756,40.47161000244683,8.112570697996418,8.271666086903005,8.656157568614061,8.133499884605408,7.610842200596754,-0.16290519145661797,-0.1412390427322302,-0.021666148724387768,0.3057648426117496,-158.70272146191923,-84.99999318803874,50.72642087140159,4089600.0,LC,XLF,Financial Services,1.0,991190400
2024-03-18,7.760000228881836,7.809999942779541,7.630000114440918,7.71999979019165,7.71999979019165,637400,18.88856665868485,40.267767361252936,8.078992558080744,8.25160075913747,8.498302619825504,8.077499890327454,7.656697160829404,-0.17071595086240343,-0.14713442435826485,-0.023581526504138584,0.3046387797004123,-137.60267476505567,-86.42852958366656,43.1185425378709,2884700.0,LC,XLF,Financial Services,1.0,991190400
2024-03-19,7.690000057220459,7.804999828338623,7.659999847412109,7.710000038146973,7.710000038146973,688500,19.76337127804435,39.41262171729098,8.044802770662734,8.230753662316065,8.363892582769498,8.027999877929688,7.692107173089878,-0.1780809289719949,-0.15332372528101085,-0.024757203690984053,0.29573599746028456,-153.0782752856364,-87.32399001194108,38.0712384069734,2247300.0,LC,XLF,Financial Services,1.0,991190400
2024-03-20,7.659999847412109,8.460000038146973,7.659999847412109,8.25,8.25,1486100,20.57568985316388,39.18856854495814,8.012916796137423,8.210331951564337,8.322270341086476,7.995499897003174,7.668729452919871,-0.18261949968851976,-0.15918288016251264,-0.02343661952600712,0.2849691391364438,-120.10136209550788,-88.73240571721006,44.6087499948034,1558800.0,LC,XLF,Financial Services,1.0,991190400
2024-03-21,8.350000381469727,8.619999885559082,8.3100004196167,8.550000190734863,8.550000190734863,1003900,20.00514312649411,54.29779179103698,8.03549614888624,8.211887561306911,8.333359526985946,7.998499917984009,7.663640308982071,-0.14101730600306528,-0.15554976533062317,0.014532459327557895,0.3217570713934737,78.62061246777338,-25.301211740995818,46.916795957196946,3044900.0,LC,XLF,Financial Services,1.0,991190400
2024-03-22,8.539999961853027,8.630000114440918,8.40999984741211,8.460000038146973,8.460000038146973,974600,19.978837417427048,60.21229516878815,8.084496533824204,8.225146880108007,8.439319774343936,8.027999925613404,7.616680076882872,-0.08288432073785756,-0.14101667641207005,0.05813235567421249,0.32520298669101716,220.50811534121758,-7.070677879567283,46.0797067730751,4048800.0,LC,XLF,Financial Services,1.0,991190400
2024-03-25,8.5,8.619999885559082,8.430000305175781,8.4399995803833,8.4399995803833,570700,19.985399078727664,57.79581150291217,8.120258772331134,8.23435680787424,8.493578883881383,8.043499946594238,7.593421009307093,-0.04357348324947452,-0.12152803777955094,0.07795455453007642,0.3176885067151451,183.85267919705376,-17.00000762939453,52.846501720800845,3074200.0,LC,XLF,Financial Services,1.0,991190400
2024-03-26,8.649999618530273,8.699999809265137,8.420000076293945,8.430000305175781,8.430000305175781,917500,19.991492049935378,57.24598573011629,8.150710277859911,8.242421230325576,8.540975782785292,8.059499931335449,7.578024079885605,-0.01387330824969979,-0.09999709187358072,0.08612378362388093,0.3085678691200133,139.4093575868062,-19.00005340576172,54.11037713530257,2503500.0,LC,XLF,Financial Services,1.0,991190400
2024-03-27,8.539999961853027,8.680000305175781,8.420000076293945,8.680000305175781,8.680000305175781,691700,20.269465176597016,56.9542643609524,8.17730932808047,8.249777272476564,8.563529861464806,8.065999937057494,7.568470012650183,0.00875649702701331,-0.07824637409346191,0.08700287112047522,0.30652728796652606,115.04719588787972,-25.23360570992606,60.96400450720873,1586000.0,LC,XLF,Financial Services,1.0,991190400
2024-03-28,8.680000305175781,9.015000343322754,8.649999618530273,8.789999961853027,8.789999961853027,2086800,20.52758307992568,62.14787766648394,8.225184659232404,8.266648763954965,8.662814687886726,8.098499965667724,7.534185243448722,0.04632963224920239,-0.05333117282492905,0.09966080507413144,0.3032039266033339,110.32399428471427,-1.8691130648070904,60.538797999088615,2277700.0,LC,XLF,Financial Services,1.0,991190400
2024-04-01,8.829999923706055,8.960000038146973,8.664999961853027,8.760000228881836,8.760000228881836,1359200,21.789819799680043,64.19489015116103,8.27897659281532,8.287172340343124,8.772371141339926,8.132499980926514,7.492628820513102,0.08401420217532163,-0.025862097824878916,0.10987630000020054,0.30761798361684434,126.69140565108128,-16.24551222286642,64.35364493136288,4364500.0,LC,XLF,Financial Services,1.0,991190400
2024-04-02,8.569999694824219,8.729999542236328,8.4399995803833,8.699999809265137,8.699999809265137,1126900,22.96189675373767,63.19120468805644,8.324788367678797,8.305714610481898,8.855672442335322,8.159999990463257,7.464327538591192,0.11018858222599981,0.0013480381852968308,0.10884054404070298,0.3067167045223516,101.16996311638042,-18.411557566801946,61.64059006539897,3005300.0,LC,XLF,Financial Services,1.0,991190400
2024-04-03,8.609999656677246,9.029999732971191,8.5600004196167,8.739999771118164,8.739999771118164,2387100,22.788880243803977,61.13251440406611,8.36052279068702,8.321176775140064,8.924467085167116,8.192999982833863,7.461532880500609,0.1246535065444192,0.026009131857121306,0.09864437468729789,0.30766555766350756,61.74299028158304,-22.743717112012988,61.285272092020385,1878400.0,LC,XLF,Financial Services,1.0,991190400
2024-04-04,8.90999984741211,8.979999542236328,8.404999732971191,8.4399995803833,8.4399995803833,2117100,23.508158667744063,62.02083506714445,8.396663455489985,8.337601206354892,8.992746044339679,8.230499982833862,7.468253921328046,0.13775675182439784,0.04835865585057661,0.08939809597382123,0.31926082592714927,80.16494545968754,-20.714288633697684,64.1549920831937,4265500.0,LC,XLF,Financial Services,1.0,991190400
2024-04-05,8.369999885559082,8.529999732971191,8.3100004196167,8.479999542236328,8.479999542236328,704500,23.42243914787093,52.35596304752972,8.400790705479825,8.34161682886581,9.01187390047204,8.253499960899353,7.495126021326665,0.12252131052559534,0.06319118678558036,0.05933012374001498,0.33752789616557693,43.760867004539264,-42.142879525015566,59.644076086278965,2148400.0,LC,XLF,Financial Services,0.0,991190400
2024-04-08,8.569999694824219,8.755000114440918,8.555000305175781,8.680000305175781,8.680000305175781,449200,22.90772948802248,53.39871055757334,8.40833440421854,8.347043601939163,9.032638999808022,8.27749993801117,7.522360876214318,0.11237933711423231,0.07302881685131075,0.03935052026292156,0.3291329973933566,-1.3170423913824807,-39.285738614147355,61.08976484093211,2852900.0,LC,XLF,Financial Services,0.0,991190400
2024-04-09,8.739999771118164,8.8100004196167,8.600000381469727,8.8100004196167,8.8100004196167,629100,23.10433693250718,58.31165670546877,8.434207347166849,8.360100727556285,9.076312427190024,8.307999968528748,7.539687509867472,0.11910714715902593,0.08224448291285379,0.03686266424617214,0.325266395594159,54.357373495093675,-25.547405622780705,64.27540873130133,3302100.0,LC,XLF,Financial Services,0.0,991190400
2024-04-10,8.5,8.550000190734863,8.279999732971191,8.329999923706055,8.329999923706055,1189700,23.4399201141841,61.176712867821806,8.469997163590644,8.377743852735124,9.132425867878315,8.349000000953675,7.565574134029034,0.13339125649813788,0.0924738376299106,0.04091741886822728,0.31703308434793137,77.06820921603344,-16.058345381883946,64.32058699793161,3931200.0,LC,XLF,Financial Services,1.0,991190400
2024-04-11,8.359999656677246,8.40999984741211,8.149999618530273,8.270000457763672,8.270000457763672,850500,22.35533820637593,48.04671067137761,8.456664093125445,8.375871541792808,9.11965710501168,8.374499988555907,7.629342872100135,0.10477174412424795,0.09493341892877807,0.009838325195469871,0.33224505594061543,-126.72929162305128,-93.33330790201823,56.6588708408985,2741500.0,LC,XLF,Financial Services,0.0,991190400
2024-04-12,8.15999984741211,8.244999885559082,8.020000457763672,8.09000015258789,8.09000015258789,718700,20.863266132696214,46.69755161274558,8.438886604043372,8.37171973457598,9.114510402500347,8.388500022888184,7.662489643276022,0.0763687870709635,0.09122049255721516,-0.014851705486251657,0.3270847111507026,-159.30948585710135,-86.36354276957823,51.110696967607204,1891000.0,LC,XLF,Financial Services,0.0,991190400
2024-04-15,8.100000381469727,8.180000305175781,7.78000020980835,7.800000190734863,7.800000190734863,1202700,19.726831827173186,42.81345266026545,8.405659322952374,8.360671907831348,9.088151290768335,8.404500031471253,7.720848772174171,0.038886459769370774,0.08075368599964629,-0.041867226230275514,0.32157866035422383,-182.67697692480453,-93.06933217255663,45.94165547574456,1172300.0,LC,XLF,Financial Services,0.0,991190400
2024-04-16,7.71999979019165,7.860000133514404,7.614999771118164,7.679999828338623,7.679999828338623,1149800,19.43013038767404,37.41410906363217,8.347977500836421,8.338684781670702,9.082792168178221,8.406500029563905,7.730207890949588,-0.01405708660926308,0.06179153147786441,-0.07584861808712749,0.3271801914265958,-191.6734078004827,-98.4000009155277,44.414948240070736,-30400.0,LC,XLF,Financial Services,0.0,991190400
2024-04-17,7.75,7.815000057220459,7.590000152587891,7.610000133514404,7.610000133514404,882700,19.615379957164993,35.42334591373852,8.284360579646155,8.312853999187091,9.08908680429591,8.404500031471253,7.719913258646595,-0.06494955685080761,0.03644331381213,-0.10139287066293762,0.3213102036387133,-181.26892207424302,-95.40635625633958,38.57137603052075,-1180200.0,LC,XLF,Financial Services,0.0,991190400
2024-04-18,7.619999885559082,7.789999961853027,7.521999835968018,7.610000133514404,7.610000133514404,1444900,19.85597889923743,34.277588391859304,8.220135775252654,8.285291102494044,9.105431349571457,8.399500036239624,7.693568722907791,-0.10966643019581923,0.007221365010540151,-0.11688779520635938,0.3144308965668458,-147.80769847146246,-98.61111203093614,34.17942875642815,-2062900.0,LC,XLF,Financial Services,0.0,991190400
2024-04-19,7.590000152587891,7.929999828338623,7.559999942779541,7.900000095367432,7.900000095367432,1340200,20.27090582784751,34.277588391859304,8.16202761889663,8.25880910371053,9.151359078689605,8.367500042915344,7.5836410071410825,-0.14345125768611844,-0.022913159528791572,-0.12053809815732687,0.31111441294671466,-123.92323517734229,-94.16443610365833,22.433629672140658,-2062900.0,LC,XLF,Financial Services,0.0,991190400
2024-04-22,7.980000019073486,8.140000343322754,7.78000020980835,8.09000015258789,8.09000015258789,943900,20.013001606904304,43.11758898123437,8.137072616655754,8.244738162206879,9.139524721500923,8.335000038146973,7.5304753547930225,-0.14515217961547222,-0.047360963546127705,-0.09779121606934452,0.31532051813331236,-80.35715105078299,-74.93366808906231,30.498998825895075,-722700.0,LC,XLF,Financial Services,0.0,991190400
2024-04-23,8.0600004196167,8.369999885559082,8.0600004196167,8.199999809265137,8.199999809265137,1166900,18.909029759219496,48.04798365168308,8.132589524839767,8.238670004966918,9.12567923030268,8.316500043869018,7.5073208574353565,-0.12967395514235847,-0.06382356186537386,-0.06585039327698461,0.31851191923196176,-36.02332958004939,-62.3341939380333,36.74177704185866,221200.0,LC,XLF,Financial Services,0.0,991190400
