Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,EMA_50,Upper_BBand,Middle_BBand,Lower_BBand,MACD,MACD_Signal,MACD_Hist,ATR,CCI,Williams_%R,MFI,OBV,Ticker,Corresponding ETF,Sector,SP,Market Cap
2024-02-23,3.0199999809265137,3.0899999141693115,2.9600000381469727,3.0,3.0,53700,17.292888133505993,59.438624123255245,2.8998862757913813,2.7115999984741213,3.160221881485035,2.8925000190734864,2.6247781566619377,0.08788625572607867,0.08912376829076094,-0.0012375125646822693,0.14956227541223063,78.45503338660176,-13.99998664855957,47.13231387349464,1106500.0,LENZ,XLV,Healthcare,1.0,390422496
2024-02-26,3.0,3.2049999237060547,2.950000047683716,3.0299999713897705,3.0299999713897705,281800,16.39252254864968,57.564641295513916,2.909420916192202,2.7229098024555283,3.161484646027705,2.8930000185966493,2.624515391165594,0.08549537069984803,0.08839808877257835,-0.0029027180727303203,0.1481649611700955,66.29142341985262,-19.999980926513672,49.507414308734724,1052800.0,LENZ,XLV,Healthcare,1.0,390422496
2024-02-27,3.109999895095825,3.200000047683716,3.0199999809265137,3.1600000858306885,3.1600000858306885,50900,16.490448180512473,58.95814623047371,2.9209046357348276,2.73495255417844,3.171935784583378,2.897500014305115,2.6230642440268515,0.08504102407278502,0.08772667583261969,-0.0026856517598346646,0.1557960265166843,105.29398181789551,-29.91451981278641,64.82066580791938,1334600.0,LENZ,XLV,Healthcare,1.0,390422496
2024-02-28,3.240000009536743,3.3399999141693115,3.1500000953674316,3.2799999713897705,3.2799999713897705,113700,16.581379124385066,64.41187263564443,2.9436756309820526,2.751621084831469,3.2073886475122086,2.9100000143051146,2.6126113810980205,0.0940863055132759,0.08899860176875093,0.005087703744524968,0.15752488653386415,171.2380658492029,-10.180960816276333,63.71596769590422,1385500.0,LENZ,XLV,Healthcare,1.0,390422496
2024-02-29,3.4200000762939453,3.4800000190734863,3.3399999141693115,3.390000104904175,3.390000104904175,183300,17.618961237091614,68.56437812501059,2.9757065205446924,2.7723418254808143,3.267165639233623,2.9290000081062315,2.5908343769788402,0.10967349631024481,0.09313358067704972,0.016539915633195096,0.15984452455300815,255.77574045985364,-10.714276591124868,64.5499448001712,1499200.0,LENZ,XLV,Healthcare,1.0,390422496
2024-03-01,3.450000047683716,3.5250000953674316,3.3550000190734863,3.390000104904175,3.390000104904175,108700,19.31442494395673,71.81133587658,3.0151630523884525,2.796563718791534,3.3414921129166157,2.962500011920929,2.5835079109252423,0.12941078184394517,0.10038902091042881,0.029021760933516355,0.16271277620520158,247.98102544910702,-12.857129719793475,68.11717846495482,1682500.0,LENZ,XLV,Healthcare,1.0,390422496
2024-03-04,3.430000066757202,3.4700000286102295,3.2899999618530273,3.319999933242798,3.319999933242798,48600,21.093913375171756,71.81133587658002,3.050861819294712,2.8198357339332065,3.3958550631959366,2.9985000133514403,2.601144963506944,0.1433997003464862,0.10899115679764029,0.0344085435488459,0.16323329764011185,177.46176501411225,-18.120801073491474,69.28652567758768,1682500.0,LENZ,XLV,Healthcare,1.0,390422496
2024-03-05,3.380000114440918,3.4600000381469727,3.2100000381469727,3.2300000190734863,3.2300000190734863,48300,22.017090567602196,66.7248543068014,3.076494020623101,2.839450016259073,3.419019434913082,3.0320000052452087,2.6449805755773355,0.14714143533307933,0.1166212125047281,0.030520222828351234,0.1644309240056183,113.01460473157422,-27.516795706034102,71.0184328548343,1633900.0,LENZ,XLV,Healthcare,1.0,390422496
2024-03-06,3.2100000381469727,3.2100000381469727,3.049999952316284,3.0899999141693115,3.0899999141693115,76600,22.053253676096393,60.765374883585686,3.0911136395231376,2.854765702643952,3.408845242409945,3.062500011920929,2.7161547814319134,0.14121668827678313,0.1215403076591391,0.019676380617644026,0.17054300086235985,72.8911166694212,-39.59731908753225,71.38960795603576,1585600.0,LENZ,XLV,Healthcare,1.0,390422496
2024-03-07,3.0999999046325684,3.200000047683716,3.006999969482422,3.130000114440918,3.130000114440918,55300,20.722160848856365,52.856890677133485,3.0910075704418207,2.863990573684162,3.3963578747400787,3.079000008106232,2.761642141472385,0.12379738590953115,0.12199172330921751,0.0018056626003136456,0.1712185055691343,-12.133450971952707,-65.41354138246164,72.99947523478542,1509000.0,LENZ,XLV,Healthcare,1.0,390422496
