Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,EMA_50,Upper_BBand,Middle_BBand,Lower_BBand,MACD,MACD_Signal,MACD_Hist,ATR,CCI,Williams_%R,MFI,OBV,Ticker,Corresponding ETF,Sector,SP,Market Cap
2024-02-23,73.44000244140625,75.9000015258789,72.58000183105469,75.83999633789062,75.83999633789062,277400,30.322804273238635,32.97968527952311,81.87462937040964,80.29799987792968,90.15519443886407,82.78299980163574,75.4108051644074,-0.18074190750657237,1.0972669292051043,-1.2780088367116766,3.3121183777266134,-236.22784579726,-76.72459891436797,40.74953920646152,2114800.0,ROCK,XLI,Industrials,1.0,2299243520
2024-02-26,75.76000213623047,77.43000030517578,75.16999816894531,77.13999938964844,77.13999938964844,214100,31.762930073652505,40.230831206943336,81.29990241493164,80.12317620969286,90.46715663769125,82.57099952697754,74.67484241626384,-0.6201661471756807,0.7537803139289473,-1.373946461104628,3.312681328947871,-151.5278788162868,-60.874178453928536,43.15784859579882,2392200.0,ROCK,XLI,Industrials,1.0,2299243520
2024-02-27,77.87000274658203,78.7300033569336,76.88999938964844,78.12999725341797,78.12999725341797,222100,32.44198823117437,43.09446855637412,80.90372117442847,80.00618888341661,90.60466593291368,82.42299957275391,74.24133321259414,-0.8536730299992854,0.43228964514330076,-1.285962675142586,3.2374899580394856,-91.85572152013957,-54.02845334598605,49.83452858899746,2606300.0,ROCK,XLI,Industrials,1.0,2299243520
2024-02-28,77.66000366210938,78.4800033569336,77.05999755859375,77.20999908447266,77.20999908447266,126300,32.53714374738685,45.2459214694829,80.63955699147509,79.93261274106372,90.61635814604911,82.2229995727539,73.8296409994587,-0.9479173618253469,0.15624824374957122,-1.104165605574918,3.1376695301284623,-58.773440928900214,-48.81519386659285,52.03888794347154,2828400.0,ROCK,XLI,Industrials,1.0,2299243520
2024-02-29,77.91999816894531,77.91999816894531,76.25,77.44999694824219,77.44999694824219,190000,32.62550244101272,43.596372892815324,80.31293242890342,79.82584357806014,90.59030131951823,81.93049964904785,73.27069797857746,-1.0843432038063554,-0.0918700457616141,-0.9924731580447413,3.0149792635721324,-54.39510216700475,-53.65983985099578,48.27418858120076,2702100.0,ROCK,XLI,Industrials,1.0,2299243520
2024-03-01,77.87999725341797,78.87999725341797,76.81999969482422,77.69999694824219,77.69999694824219,142900,32.88222211385956,44.16820998230149,80.04027190693569,79.73267312198885,90.62731604963288,81.75699958801269,72.8866831263925,-1.1597272309972482,-0.3054414828087409,-0.8542857481885073,2.9189091853845026,-51.428986548468515,-52.39602789329453,42.82462040779845,2892100.0,ROCK,XLI,Industrials,1.0,2299243520
2024-03-04,77.81999969482422,78.44999694824219,75.6500015258789,75.8499984741211,75.8499984741211,173100,32.6826719424241,44.796055380084155,79.8173885775363,79.65296033086153,90.38611912402627,81.42749938964843,72.4688796552706,-1.1856295060784703,-0.4814790874626868,-0.7041504186157834,2.857558354899449,-36.55290689129495,-51.07954538606388,43.1437415713994,3035000.0,ROCK,XLI,Industrials,1.0,2299243520
2024-03-05,75.75,76.2699966430664,73.94999694824219,74.25,74.25,145500,32.775916390898985,41.11176906271402,79.43954190102058,79.50382457177368,90.21986838460921,81.0234992980957,71.82713021158219,-1.3399900898346289,-0.6531812879370752,-0.6868088018975537,2.8534467168611513,-47.48848888623909,-60.38341163145553,38.170575321806616,2861900.0,ROCK,XLI,Industrials,1.0,2299243520
2024-03-06,74.91000366210938,75.58000183105469,74.16000366210938,75.58000183105469,75.58000183105469,144900,33.24100486332709,38.186559318957684,78.9452998152091,79.29779223562569,90.1801101178975,80.58199920654297,70.98388829518845,-1.5732925327092602,-0.8372035368915122,-0.736088995817748,2.815343358144227,-71.22197303551442,-68.90310587065291,38.90661420109197,2716400.0,ROCK,XLI,Industrials,1.0,2299243520
2024-03-07,76.3499984741211,77.41999816894531,75.91999816894531,76.37000274658203,76.37000274658203,129700,33.672872730581766,41.88802587022728,78.62479524528963,79.15199653348566,89.96787219973018,80.20599937438965,70.44412654904912,-1.6320530751313527,-0.9961734445394803,-0.6358796305918724,2.715675844630019,-63.3011178610522,-61.82109353037052,38.09250887795111,2861300.0,ROCK,XLI,Industrials,1.0,2299243520
