Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,EMA_50,Upper_BBand,Middle_BBand,Lower_BBand,MACD,MACD_Signal,MACD_Hist,ATR,CCI,Williams_%R,MFI,OBV,Ticker,Corresponding ETF,Sector,SP,Market Cap
2024-02-23,29.700000762939453,29.81999969482422,29.549999237060547,29.559999465942383,29.559999465942383,63000,21.477484097357117,62.60100202060633,29.217469993754033,28.829800186157225,29.62233240836175,29.245000171661378,28.867667934961005,0.18125548213525633,0.17550233795195336,0.005753144183302972,0.2901515553337178,161.92680164665242,-17.708358168625676,64.47648857212191,825400.0,TY,XLF,Financial Services,1.0,1602016000
2024-02-26,29.56999969482422,29.68000030517578,29.520000457763672,29.549999237060547,29.549999237060547,29000,21.746306990955016,60.69260263275859,29.25009184824816,28.858435452031152,29.65973600439941,29.271000099182128,28.882264193964847,0.18658719319227757,0.1777193090000182,0.008867884192259368,0.28871219122157166,134.93726003933534,-26.530647992806564,65.59706093382258,762400.0,TY,XLF,Financial Services,1.0,1602016000
2024-02-27,29.43000030517578,29.690000534057617,29.43000030517578,29.520000457763672,29.520000457763672,30600,21.852616788130756,60.40927425249477,29.278654456706484,28.88555560046368,29.690347366251544,29.295000076293945,28.899652786336347,0.18784037085387695,0.17974352137078994,0.008096849483087004,0.27951845237803863,95.14577289918333,-32.926897347388795,73.15164719429418,733400.0,TY,XLF,Financial Services,1.0,1602016000
2024-02-28,29.450000762939453,29.68000030517578,29.40999984741211,29.579999923706055,29.579999923706055,26100,21.518146180522404,59.51177204433728,29.301639790140502,28.910435790946032,29.714189847101554,29.307000064849852,28.89981028259815,0.1842885091821138,0.18065251893305473,0.0036359902490590845,0.2781242935568813,69.70494764268568,-37.03696726657923,65.65099353368268,702800.0,TY,XLF,Financial Services,1.0,1602016000
2024-02-29,29.610000610351562,29.790000915527344,29.610000610351562,29.649999618530273,29.649999618530273,44800,21.110144709390998,60.76725014588352,29.328150279051506,28.936693207917013,29.746549115380006,29.323500061035155,28.900451006690304,0.18419183980867615,0.181360383108179,0.0028314567004971425,0.27754401957165203,66.13329804194696,-29.629620908322405,64.52642818953679,728900.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-01,29.690000534057617,29.950000762939453,29.690000534057617,29.860000610351562,29.860000610351562,44600,21.11917169816143,62.23842377629322,29.358802597097103,28.964666008333218,29.76775611614142,29.358500003814697,28.949243891487974,0.1876010706296114,0.1826085206124655,0.004992550017145908,0.27271951758948326,112.87327418742443,-20.987677577806927,66.02899683899705,773700.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-04,29.860000610351562,29.979999542236328,29.829999923706055,29.850000381469727,29.850000381469727,28900,21.64380029075668,66.31890402652778,29.406535741216576,28.999777169196683,29.847246876692953,29.392500019073488,28.937753161454022,0.20488643235107773,0.18706410296018794,0.01782232939088979,0.2746682052194616,149.5285839627293,-9.574478878154986,66.72508691837481,818300.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-05,29.780000686645508,29.90999984741211,29.600000381469727,29.690000534057617,29.690000534057617,23600,22.22390611703121,65.9534171849989,29.448770468859735,29.03311925595249,29.91140001613749,29.425500011444093,28.939600006750695,0.21529646749440445,0.19271057586703125,0.022585891627373206,0.2657633061702339,138.64599151539326,-13.401984823786423,66.3190501755735,789400.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-06,29.770000457763672,30.059999465942383,29.760000228881836,29.889999389648438,29.889999389648438,16400,21.55219546055623,60.233775736291214,29.47174476078334,29.058879306074257,29.892705414726297,29.466499996185302,29.040294577644307,0.20823543634596575,0.19581554796281814,0.012419888383147615,0.26892303186824457,75.59686423679824,-33.7208657601572,69.4415542062299,765800.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-07,30.059999465942383,30.170000076293945,29.969999313354492,30.09000015258789,30.09000015258789,37000,21.45160556390956,64.39083244682477,29.511578534960968,29.091472250528145,29.938105101712168,29.504999923706055,29.071894745699943,0.21628456069165836,0.1999093505085862,0.01637521018307217,0.2761427390122818,129.43576910557044,-18.085140920804335,68.56186782728044,782200.0,TY,XLF,Financial Services,1.0,1602016000
