Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,EMA_50,Upper_BBand,Middle_BBand,Lower_BBand,MACD,MACD_Signal,MACD_Hist,ATR,CCI,Williams_%R,MFI,OBV,Ticker,Corresponding ETF,Sector,SP,Market Cap
2024-02-23,12.430000305175781,12.989999771118164,12.399999618530273,12.859999656677246,12.859999656677246,8400,23.142329838056384,41.002938863115865,13.465955404653112,14.226399936676025,14.946447534023335,13.641999864578247,12.33755219513316,-0.4388777613271717,-0.3550422155758482,-0.08383554575132351,0.6812030505678327,-138.57106610788406,-72.41376880394661,40.05411603200182,30300.0,VHI,XLB,Basic Materials,1.0,550211328
2024-02-26,12.989999771118164,13.149999618530273,12.989999771118164,13.149999618530273,13.149999618530273,1800,23.602711779900883,43.01259224816125,13.408245333417316,14.17281561197019,14.812910469394232,13.552499866485595,12.292089263576958,-0.43338620582498777,-0.3707110136256761,-0.06267519219931167,0.6746885578549797,-88.72371664030604,-63.54680450942376,47.816377763331474,38700.0,VHI,XLB,Basic Materials,1.0,550211328
2024-02-27,13.149999618530273,13.449999809265137,13.149999618530273,13.380000114440918,13.380000114440918,2900,23.63247058253145,46.19271264492814,13.383650503428074,14.132705180854899,14.642675834611277,13.477499866485596,12.312323898359915,-0.40101093084411765,-0.3767709970693644,-0.024239933774753253,0.6472108009976975,-24.47087447515427,-49.26109022370947,53.13252307931282,40500.0,VHI,XLB,Basic Materials,1.0,550211328
2024-02-28,13.699999809265137,13.859999656677246,13.25,13.630000114440918,13.630000114440918,5100,22.952851696400053,48.6406467407964,13.38330284733406,14.103187335113175,14.475312262550435,13.418999862670898,12.36268746279136,-0.3527281438680099,-0.3719624264290935,0.019234282561083615,0.6224100431217808,24.941381781060223,-37.931015043157295,51.176405248856184,43400.0,VHI,XLB,Basic Materials,1.0,550211328
2024-02-29,13.8100004196167,13.8100004196167,13.569999694824219,13.630000114440918,13.630000114440918,8800,21.464669593513033,51.23746080949634,13.40679782515376,14.084630973518184,14.303602480603276,13.373499870300293,12.44339725999731,-0.29093703562327633,-0.35575734826793004,0.06482031264465371,0.6215235869471712,80.0875284279226,-25.615742487229923,55.06455373066562,48500.0,VHI,XLB,Basic Materials,1.0,550211328
2024-03-01,13.329999923706055,13.529999732971191,13.199999809265137,13.449999809265137,13.449999809265137,5100,20.0827862122608,51.237460809496326,13.42805518603825,14.066802312377899,14.271648709579459,13.361499881744384,12.45135105390931,-0.23920967690591155,-0.33244781399552636,0.09323813708961481,0.594271953936122,101.41057184184702,-25.615742487229923,58.720374910363745,48500.0,VHI,XLB,Basic Materials,1.0,550211328
2024-03-04,13.25,13.329999923706055,13.020000457763672,13.020000457763672,13.020000457763672,7000,19.49275898667698,49.161821558692345,13.430145150155097,14.042613978922496,14.140134301532175,13.321999883651733,12.503865465771291,-0.21031550650711672,-0.30802135249784446,0.09770584599072774,0.5825382647389548,45.274349556602516,-34.48275376078932,58.94637488638349,43400.0,VHI,XLB,Basic Materials,1.0,550211328
2024-03-05,13.029999732971191,13.210000038146973,12.710000038146973,13.119999885559082,13.119999885559082,8000,19.255866887522483,44.52183643733003,13.391083750879723,14.00251148789666,14.109515769310068,13.292499923706055,12.475484078102042,-0.21958280837704258,-0.2903336436736841,0.0707508352966415,0.571642628079134,-1.9959230492822455,-48.27582237977947,52.473978180221295,36400.0,VHI,XLB,Basic Materials,1.0,550211328
2024-03-06,12.600000381469727,13.0,12.600000381469727,12.899999618530273,12.899999618530273,2500,19.538211331921463,45.80292417597543,13.365266239896805,13.967903189765774,14.104974729324217,13.28449993133545,12.464025133346682,-0.21636398445239813,-0.2755397118294269,0.05917572737702875,0.566525297502053,-27.537449782117363,-42.52872807233894,51.38552626452558,44400.0,VHI,XLB,Basic Materials,1.0,550211328
2024-03-07,12.899999618530273,14.430000305175781,12.899999618530273,13.819999694824219,13.819999694824219,25300,19.970773171196043,43.42702891031174,13.320955133099993,13.926024618344774,13.988804761829693,13.227999925613403,12.467195089397114,-0.22892630627496224,-0.266217030718534,0.03729072444357173,0.5632020265440032,-59.78625859286709,-55.172423242909645,48.90708436985792,41900.0,VHI,XLB,Basic Materials,1.0,550211328
